;material;qtd_loja;qtd_vendas;porcentagem;status
1308;4001599;158;0;1.2;alerta
137;4000171;158;0;1.2;alerta
2960;4005325;158;0;1.2;alerta
3483;4006256;158;0;1.2;alerta
3480;4006253;158;0;1.2;alerta
2602;4004107;158;1;158.0;alerta
1823;4002443;157;1;157.0;alerta
671;4000794;157;3;52.33;alerta
629;4000732;157;0;1.2;alerta
2215;4003317;157;0;1.2;alerta
625;4000728;157;0;1.2;alerta
2504;4003854;154;0;1.2;alerta
2209;4003281;154;0;1.2;alerta
2860;4005093;154;0;1.2;alerta
2192;4003260;154;0;1.2;alerta
2191;4003259;154;0;1.2;alerta
1388;4001716;154;2;77.0;alerta
2202;4003271;154;0;1.2;alerta
2843;4005050;149;2;74.5;alerta
427;4000498;143;0;1.2;alerta
3477;4006250;140;0;1.2;alerta
3468;4006240;140;0;1.2;alerta
1734;4002296;140;2;70.0;alerta
867;4001049;134;2;67.0;alerta
831;4000996;134;0;1.2;alerta
1184;4001444;134;0;1.2;alerta
1574;4002072;134;0;1.2;alerta
1544;4001993;134;0;1.2;alerta
3453;4006224;132;1;132.0;alerta
3230;4005838;132;0;1.2;alerta
1408;4001743;132;1;132.0;alerta
1401;4001730;132;0;1.2;alerta
2982;4005383;132;0;1.2;alerta
1394;4001722;132;0;1.2;alerta
1026;4001249;132;0;1.2;alerta
1332;4001640;132;0;1.2;alerta
1320;4001622;132;0;1.2;alerta
1251;4001520;132;1;132.0;alerta
713;4000847;132;10;13.2;alerta
2205;4003277;132;0;1.2;alerta
3225;4005833;132;0;1.2;alerta
3232;4005840;132;0;1.2;alerta
1860;4002501;132;0;1.2;alerta
3257;4005865;132;0;1.2;alerta
2211;4003299;132;1;132.0;alerta
3334;4005943;132;0;1.2;alerta
2238;4003372;132;2;66.0;alerta
2528;4003952;132;0;1.2;alerta
1587;4002087;132;0;1.2;alerta
1588;4002088;132;0;1.2;alerta
2174;4003236;132;0;1.2;alerta
3398;4006161;132;0;1.2;alerta
3460;4006231;132;0;1.2;alerta
2182;4003249;132;0;1.2;alerta
2912;4005253;132;2;66.0;alerta
2024;4002743;132;6;22.0;alerta
2041;4002779;132;3;44.0;alerta
832;4000997;132;0;1.2;alerta
2067;4002849;132;2;66.0;alerta
3853;6000232;132;0;1.2;alerta
859;4001041;132;42;3.14;alerta
828;4000992;132;20;6.6;alerta
2097;4002900;132;3;44.0;alerta
2166;4003227;132;1;132.0;alerta
2066;4002844;132;1;132.0;alerta
1116;4001356;132;0;1.2;alerta
1084;4001315;132;1;132.0;alerta
2046;4002793;132;0;1.2;alerta
2120;4002945;132;4;33.0;alerta
817;4000977;132;0;1.2;alerta
2157;4003216;132;1;132.0;alerta
1966;4002653;132;6;22.0;alerta
134;4000168;132;1;132.0;alerta
1123;4001366;132;1;132.0;alerta
1879;4002527;132;25;5.28;alerta
2183;4003250;131;0;1.2;alerta
630;4000733;131;0;1.2;alerta
4207;6000731;130;17;7.65;alerta
2060;4002829;128;7;18.29;alerta
1387;4001713;125;0;1.2;alerta
1386;4001712;125;0;1.2;alerta
2476;4003816;124;0;1.2;alerta
3484;4006257;123;0;1.2;alerta
712;4000846;118;8;14.75;alerta
711;4000845;118;9;13.11;alerta
2518;4003919;118;9;13.11;alerta
1592;4002092;118;0;1.2;alerta
33;4000061;118;0;1.2;alerta
2034;4002765;118;3;39.33;alerta
611;4000713;118;0;1.2;alerta
2875;4005205;118;0;1.2;alerta
3485;4006258;118;0;1.2;alerta
3425;4006196;115;0;1.2;alerta
3390;4006151;115;0;1.2;alerta
916;4001117;115;0;1.2;alerta
1577;4002075;115;0;1.2;alerta
1927;4002584;115;8;14.38;alerta
1925;4002582;115;5;23.0;alerta
455;4000530;115;0;1.2;alerta
881;4001073;115;2;57.5;alerta
3486;4006259;115;0;1.2;alerta
3672;4006579;110;0;1.2;alerta
921;4001124;110;3;36.67;alerta
2068;4002852;110;1;110.0;alerta
4205;6000728;110;20;5.5;alerta
2784;4004582;110;1;110.0;alerta
3702;4006612;110;0;1.2;alerta
2799;4004640;110;1;110.0;alerta
726;4000866;110;19;5.79;alerta
938;4001148;110;14;7.86;alerta
2623;4004130;110;0;1.2;alerta
3074;4005561;110;18;6.11;alerta
2897;4005228;110;0;1.2;alerta
1426;4001763;110;3;36.67;alerta
1062;4001290;110;0;1.2;alerta
3391;4006152;110;0;1.2;alerta
2776;4004564;110;0;1.2;alerta
2762;4004471;110;0;1.2;alerta
3692;4006600;110;0;1.2;alerta
3653;4006553;110;0;1.2;alerta
2898;4005229;110;3;36.67;alerta
1421;4001756;110;1;110.0;alerta
3658;4006565;110;0;1.2;alerta
3659;4006566;110;0;1.2;alerta
1059;4001286;110;0;1.2;alerta
1567;4002062;110;0;1.2;alerta
3662;4006569;110;0;1.2;alerta
3663;4006570;110;0;1.2;alerta
995;4001218;110;0;1.2;alerta
1530;4001956;110;0;1.2;alerta
3689;4006597;110;0;1.2;alerta
3678;4006585;110;0;1.2;alerta
3667;4006574;110;0;1.2;alerta
3589;4006401;110;3;36.67;alerta
2857;4005090;110;8;13.75;alerta
3588;4006400;110;0;1.2;alerta
2315;4003606;110;0;1.2;alerta
2950;4005292;110;18;6.11;alerta
3587;4006399;110;0;1.2;alerta
2261;4003527;110;0;1.2;alerta
2260;4003526;110;2;55.0;alerta
1920;4002577;110;1;110.0;alerta
1092;4001326;110;4;27.5;alerta
2092;4002881;110;40;2.75;alerta
1096;4001331;110;0;1.2;alerta
1912;4002568;110;0;1.2;alerta
3464;4006236;110;0;1.2;alerta
3465;4006237;110;0;1.2;alerta
3466;4006238;110;0;1.2;alerta
3467;4006239;110;0;1.2;alerta
2233;4003355;110;12;9.17;alerta
591;4000690;110;5;22.0;alerta
621;4000724;110;0;1.2;alerta
2115;4002938;110;8;13.75;alerta
2118;4002943;110;1;110.0;alerta
1119;4001361;110;4;27.5;alerta
820;4000982;110;11;10.0;alerta
2131;4002961;110;0;1.2;alerta
937;4001147;110;10;11.0;alerta
3448;4006219;110;0;1.2;alerta
1783;4002374;110;0;1.2;alerta
3578;4006390;110;0;1.2;alerta
3586;4006398;110;3;36.67;alerta
1744;4002309;110;0;1.2;alerta
1784;4002375;110;0;1.2;alerta
1061;4001288;110;0;1.2;alerta
2967;4005353;110;0;1.2;alerta
32;4000060;110;1;110.0;alerta
2930;4005271;110;0;1.2;alerta
1778;4002365;107;0;1.2;alerta
1579;4002077;107;0;1.2;alerta
3437;4006208;107;0;1.2;alerta
3409;4006180;107;0;1.2;alerta
3458;4006229;107;0;1.2;alerta
918;4001119;107;2;53.5;alerta
1060;4001287;107;1;107.0;alerta
3433;4006204;107;0;1.2;alerta
3435;4006206;107;0;1.2;alerta
3436;4006207;107;0;1.2;alerta
3445;4006216;107;0;1.2;alerta
1238;4001504;107;0;1.2;alerta
3420;4006191;105;0;1.2;alerta
2181;4003244;105;0;1.2;alerta
2620;4004125;105;1;105.0;alerta
2968;4005354;105;0;1.2;alerta
2243;4003410;105;24;4.38;alerta
283;4000339;105;5;21.0;alerta
2052;4002810;105;4;26.25;alerta
284;4000340;105;3;35.0;alerta
3349;4006010;105;1;105.0;alerta
368;4000433;105;12;8.75;alerta
742;4000884;105;0;1.2;alerta
1754;4002326;101;0;1.2;alerta
3389;4006150;99;0;1.2;alerta
3411;4006182;99;0;1.2;alerta
1257;4001527;99;18;5.5;alerta
3136;4005720;99;2;49.5;alerta
2715;4004363;99;23;4.3;alerta
43;4000071;99;5;19.8;alerta
1216;4001479;99;2;49.5;alerta
1214;4001477;99;9;11.0;alerta
1590;4002090;99;0;1.2;alerta
1067;4001295;99;0;1.2;alerta
2475;4003815;99;0;1.2;alerta
1259;4001529;99;6;16.5;alerta
652;4000769;99;2;49.5;alerta
3062;4005511;92;0;1.2;alerta
4093;6000575;92;18;5.11;alerta
1945;4002609;92;4;23.0;alerta
664;4000784;92;7;13.14;alerta
141;4000176;92;0;1.2;alerta
2454;4003781;90;3;30.0;alerta
1703;4002218;88;1;88.0;alerta
2439;4003763;88;0;1.2;alerta
2438;4003762;88;0;1.2;alerta
1591;4002091;88;1;88.0;alerta
2591;4004087;88;0;1.2;alerta
2698;4004312;88;0;1.2;alerta
472;4000550;88;19;4.63;alerta
2101;4002911;88;0;1.2;alerta
618;4000721;88;20;4.4;alerta
862;4001044;88;0;1.2;alerta
743;4000886;88;8;11.0;alerta
3525;4006320;88;0;1.2;alerta
3300;4005908;88;3;29.33;alerta
2161;4003222;85;0;1.2;alerta
1237;4001503;85;45;1.89;alerta
3439;4006210;84;2;42.0;alerta
1025;4001248;84;1;84.0;alerta
1056;4001283;84;2;42.0;alerta
1229;4001495;84;0;1.2;alerta
2738;4004388;84;1;84.0;alerta
3432;4006203;84;0;1.2;alerta
1772;4002351;84;0;1.2;alerta
1225;4001490;84;0;1.2;alerta
3459;4006230;84;3;28.0;alerta
3077;4005582;84;0;1.2;alerta
3444;4006215;84;0;1.2;alerta
2139;4002990;84;1;84.0;alerta
2818;4004753;84;0;1.2;alerta
3447;4006218;84;0;1.2;alerta
1227;4001492;84;0;1.2;alerta
986;4001208;84;4;21.0;alerta
977;4001198;84;0;1.2;alerta
1206;4001468;84;1;84.0;alerta
3392;4006153;84;0;1.2;alerta
3399;4006162;84;0;1.2;alerta
1192;4001452;84;0;1.2;alerta
1197;4001458;84;3;28.0;alerta
3400;4006163;84;0;1.2;alerta
1578;4002076;84;1;84.0;alerta
1575;4002073;84;7;12.0;alerta
1952;4002634;84;1;84.0;alerta
3406;4006169;84;0;1.2;alerta
3479;4006252;84;3;28.0;alerta
3407;4006170;84;0;1.2;alerta
3412;4006183;84;0;1.2;alerta
3416;4006187;84;0;1.2;alerta
3417;4006188;84;0;1.2;alerta
2140;4003000;84;0;1.2;alerta
3140;4005724;82;0;1.2;alerta
892;4001088;79;0;1.2;alerta
152;4000193;79;5;15.8;alerta
3197;4005797;79;1;79.0;alerta
931;4001139;79;1;79.0;alerta
1850;4002483;79;9;8.78;alerta
4304;6000900;79;6;13.17;alerta
285;4000342;79;1;79.0;alerta
2686;4004290;79;0;1.2;alerta
162;4000212;79;1;79.0;alerta
4353;6000971;79;16;4.94;alerta
4354;6000972;79;13;6.08;alerta
4068;6000514;79;19;4.16;alerta
2965;4005351;79;0;1.2;alerta
1362;4001683;77;0;1.2;alerta
3497;4006272;77;0;1.2;alerta
147;4000188;77;0;1.2;alerta
3422;4006193;77;0;1.2;alerta
1741;4002305;77;1;77.0;alerta
1658;4002166;77;0;1.2;alerta
1765;4002339;77;1;77.0;alerta
3449;4006220;77;0;1.2;alerta
1221;4001485;77;0;1.2;alerta
38;4000066;77;17;4.53;alerta
3461;4006232;77;0;1.2;alerta
1247;4001515;77;0;1.2;alerta
2362;4003677;74;0;1.2;alerta
2506;4003860;70;11;6.36;alerta
282;4000338;70;0;1.2;alerta
3207;4005807;70;0;1.2;alerta
1594;4002094;66;0;1.2;alerta
2298;4003576;66;0;1.2;alerta
2172;4003234;66;3;22.0;alerta
926;4001130;66;7;9.43;alerta
3443;4006214;66;0;1.2;alerta
806;4000963;66;7;9.43;alerta
924;4001127;66;11;6.0;alerta
620;4000723;66;0;1.2;alerta
151;4000192;66;0;1.2;alerta
1168;4001420;66;0;1.2;alerta
1083;4001314;66;5;13.2;alerta
2230;4003343;66;2;33.0;alerta
838;4001008;66;5;13.2;alerta
2146;4003013;66;6;11.0;alerta
657;4000774;66;2;33.0;alerta
4292;6000878;66;1;66.0;alerta
4293;6000881;66;0;1.2;alerta
2223;4003335;66;10;6.6;alerta
2225;4003337;66;11;6.0;alerta
2239;4003374;66;4;16.5;alerta
4094;6000577;66;7;9.43;alerta
164;4000215;66;11;6.0;alerta
996;4001219;66;8;8.25;alerta
2229;4003341;66;17;3.88;alerta
4352;6000970;66;14;4.71;alerta
2376;4003691;66;0;1.2;alerta
2367;4003682;66;0;1.2;alerta
2119;4002944;66;4;16.5;alerta
1593;4002093;66;0;1.2;alerta
1507;4001907;66;2;33.0;alerta
2628;4004160;66;0;1.2;alerta
3202;4005802;66;0;1.2;alerta
3189;4005789;66;0;1.2;alerta
3183;4005783;66;0;1.2;alerta
360;4000425;66;0;1.2;alerta
2053;4002813;66;4;16.5;alerta
1019;4001242;66;5;13.2;alerta
2051;4002809;66;0;1.2;alerta
1461;4001834;66;0;1.2;alerta
3137;4005721;66;0;1.2;alerta
2040;4002777;66;3;22.0;alerta
4007;6000422;66;0;1.2;alerta
3113;4005672;66;0;1.2;alerta
1039;4001263;66;7;9.43;alerta
2030;4002757;66;3;22.0;alerta
2;4000014;66;1;66.0;alerta
2025;4002744;66;3;22.0;alerta
1425;4001762;66;2;33.0;alerta
1424;4001760;66;8;8.25;alerta
3053;4005495;66;0;1.2;alerta
4075;6000528;66;0;1.2;alerta
1423;4001759;66;10;6.6;alerta
2891;4005222;66;2;33.0;alerta
2892;4005223;66;0;1.2;alerta
2911;4005252;66;0;1.2;alerta
2924;4005265;66;15;4.4;alerta
2925;4005266;66;3;22.0;alerta
2927;4005268;66;13;5.08;alerta
2928;4005269;66;11;6.0;alerta
2969;4005355;66;0;1.2;alerta
1057;4001284;66;6;11.0;alerta
4088;6000546;66;0;1.2;alerta
2581;4004076;66;2;33.0;alerta
3904;6000287;66;1;66.0;alerta
2063;4002835;66;7;9.43;alerta
3857;6000236;66;1;66.0;alerta
4105;6000604;66;15;4.4;alerta
231;4000285;66;6;11.0;alerta
2541;4003970;66;0;1.2;alerta
3854;6000233;66;6;11.0;alerta
2061;4002830;66;9;7.33;alerta
2059;4002828;66;4;16.5;alerta
1398;4001727;61;1;61.0;alerta
3196;4005796;61;0;1.2;alerta
1036;4001260;60;0;1.2;alerta
3427;4006198;60;0;1.2;alerta
3403;4006166;60;0;1.2;alerta
3414;4006185;60;1;60.0;alerta
3478;4006251;60;0;1.2;alerta
3413;4006184;60;0;1.2;alerta
3452;4006223;59;0;1.2;alerta
2219;4003324;59;0;1.2;alerta
808;4000965;56;0;1.2;alerta
1124;4001367;55;0;1.2;alerta
846;4001021;55;0;1.2;alerta
845;4001020;55;0;1.2;alerta
1993;4002687;55;0;1.2;alerta
1106;4001344;55;0;1.2;alerta
599;4000698;55;0;1.2;alerta
813;4000972;55;0;1.2;alerta
585;4000684;55;0;1.2;alerta
844;4001019;55;0;1.2;alerta
840;4001012;55;0;1.2;alerta
1948;4002630;55;0;1.2;alerta
600;4000700;55;1;55.0;alerta
1064;4001292;55;0;1.2;alerta
898;4001094;55;1;55.0;alerta
2001;4002701;55;0;1.2;alerta
583;4000681;55;0;1.2;alerta
2000;4002700;55;0;1.2;alerta
1963;4002650;55;0;1.2;alerta
598;4000697;55;0;1.2;alerta
814;4000973;55;0;1.2;alerta
1895;4002545;55;1;55.0;alerta
1892;4002541;55;0;1.2;alerta
1103;4001341;55;0;1.2;alerta
920;4001123;55;8;6.88;alerta
829;4000994;55;2;27.5;alerta
825;4000988;55;0;1.2;alerta
1886;4002535;55;0;1.2;alerta
1113;4001352;55;1;55.0;alerta
1063;4001291;55;0;1.2;alerta
1049;4001274;55;0;1.2;alerta
1045;4001269;55;0;1.2;alerta
1120;4001362;55;0;1.2;alerta
1122;4001365;55;8;6.88;alerta
1885;4002534;55;0;1.2;alerta
1020;4001243;55;0;1.2;alerta
1017;4001240;55;12;4.58;alerta
1913;4002569;55;0;1.2;alerta
1094;4001329;55;5;11.0;alerta
1949;4002631;55;0;1.2;alerta
1089;4001322;55;10;5.5;alerta
815;4000974;55;0;1.2;alerta
1012;4001235;55;0;1.2;alerta
966;4001183;55;0;1.2;alerta
809;4000966;55;0;1.2;alerta
1554;4002018;55;0;1.2;alerta
1499;4001898;55;2;27.5;alerta
1509;4001909;55;0;1.2;alerta
1520;4001939;55;0;1.2;alerta
708;4000842;55;0;1.2;alerta
1537;4001966;55;0;1.2;alerta
1546;4001996;55;0;1.2;alerta
1548;4002010;55;0;1.2;alerta
1555;4002020;55;0;1.2;alerta
1496;4001895;55;3;18.33;alerta
992;4001214;55;0;1.2;alerta
1569;4002064;55;0;1.2;alerta
1573;4002071;55;0;1.2;alerta
694;4000827;55;5;11.0;alerta
693;4000826;55;0;1.2;alerta
692;4000825;55;1;55.0;alerta
783;4000931;55;8;6.88;alerta
1497;4001896;55;1;55.0;alerta
771;4000918;55;0;1.2;alerta
1008;4001231;55;5;11.0;alerta
940;4001152;55;2;27.5;alerta
958;4001173;55;0;1.2;alerta
957;4001172;55;0;1.2;alerta
948;4001161;55;0;1.2;alerta
2002;4002702;55;0;1.2;alerta
1359;4001679;55;0;1.2;alerta
1314;4001605;55;0;1.2;alerta
1295;4001572;55;0;1.2;alerta
1289;4001565;55;2;27.5;alerta
1459;4001832;55;1;55.0;alerta
1280;4001553;55;0;1.2;alerta
939;4001151;55;0;1.2;alerta
889;4001084;55;0;1.2;alerta
1452;4001821;55;0;1.2;alerta
1458;4001831;55;0;1.2;alerta
891;4001087;55;0;1.2;alerta
770;4000917;55;0;1.2;alerta
994;4001217;55;0;1.2;alerta
875;4001062;55;0;1.2;alerta
786;4000935;55;3;18.33;alerta
1165;4001416;55;0;1.2;alerta
1810;4002422;55;0;1.2;alerta
1813;4002426;55;1;55.0;alerta
1827;4002452;55;0;1.2;alerta
1836;4002463;55;2;27.5;alerta
1171;4001425;55;0;1.2;alerta
1169;4001421;55;0;1.2;alerta
1841;4002468;55;1;55.0;alerta
1158;4001408;55;7;7.86;alerta
787;4000936;55;1;55.0;alerta
1153;4001402;55;0;1.2;alerta
1151;4001400;55;3;18.33;alerta
1150;4001399;55;8;6.88;alerta
1001;4001224;55;0;1.2;alerta
1134;4001379;55;1;55.0;alerta
1131;4001376;55;4;13.75;alerta
1878;4002526;55;0;1.2;alerta
1809;4002421;55;0;1.2;alerta
1173;4001427;55;0;1.2;alerta
1753;4002324;55;0;1.2;alerta
1751;4002322;55;0;1.2;alerta
1190;4001450;55;0;1.2;alerta
1604;4002108;55;0;1.2;alerta
1609;4002114;55;0;1.2;alerta
1614;4002119;55;0;1.2;alerta
1615;4002120;55;2;27.5;alerta
1689;4002201;55;0;1.2;alerta
1701;4002216;55;0;1.2;alerta
1702;4002217;55;0;1.2;alerta
1705;4002241;55;0;1.2;alerta
1712;4002270;55;0;1.2;alerta
1724;4002284;55;0;1.2;alerta
1735;4002298;55;2;27.5;alerta
1177;4001433;55;2;27.5;alerta
1748;4002317;55;0;1.2;alerta
1750;4002319;55;0;1.2;alerta
582;4000680;55;0;1.2;alerta
2323;4003614;55;0;1.2;alerta
2999;4005411;55;0;1.2;alerta
2761;4004470;55;0;1.2;alerta
353;4000417;55;7;7.86;alerta
352;4000416;55;10;5.5;alerta
345;4000409;55;0;1.2;alerta
2803;4004653;55;0;1.2;alerta
2815;4004720;55;0;1.2;alerta
2824;4004775;55;3;18.33;alerta
2826;4004777;55;1;55.0;alerta
2827;4004778;55;0;1.2;alerta
2830;4004781;55;0;1.2;alerta
2836;4004787;55;0;1.2;alerta
2853;4005079;55;2;27.5;alerta
3526;4006321;55;0;1.2;alerta
2901;4005233;55;1;55.0;alerta
2931;4005272;55;0;1.2;alerta
2934;4005276;55;0;1.2;alerta
2937;4005279;55;0;1.2;alerta
2946;4005288;55;0;1.2;alerta
2954;4005296;55;0;1.2;alerta
2983;4005385;55;0;1.2;alerta
2992;4005402;55;1;55.0;alerta
2004;4002704;55;0;1.2;alerta
354;4000418;55;0;1.2;alerta
2744;4004394;55;0;1.2;alerta
2502;4003852;55;0;1.2;alerta
2726;4004375;55;0;1.2;alerta
2511;4003900;55;0;1.2;alerta
401;4000471;55;0;1.2;alerta
2516;4003917;55;0;1.2;alerta
3559;4006355;55;0;1.2;alerta
2520;4003922;55;0;1.2;alerta
2524;4003941;55;0;1.2;alerta
2543;4003972;55;0;1.2;alerta
3558;4006353;55;0;1.2;alerta
2553;4004031;55;1;55.0;alerta
386;4000452;55;0;1.2;alerta
2586;4004082;55;0;1.2;alerta
2599;4004104;55;0;1.2;alerta
2601;4004106;55;5;11.0;alerta
2614;4004119;55;1;55.0;alerta
3541;4006336;55;0;1.2;alerta
3540;4006335;55;0;1.2;alerta
3539;4006334;55;0;1.2;alerta
2626;4004151;55;0;1.2;alerta
2685;4004281;55;0;1.2;alerta
2703;4004341;55;0;1.2;alerta
362;4000427;55;0;1.2;alerta
3004;4005423;55;1;55.0;alerta
3008;4005427;55;1;55.0;alerta
292;4000352;55;0;1.2;alerta
3012;4005431;55;0;1.2;alerta
3359;4006045;55;4;13.75;alerta
3361;4006047;55;0;1.2;alerta
3368;4006060;55;0;1.2;alerta
3491;4006264;55;0;1.2;alerta
3490;4006263;55;0;1.2;alerta
3380;4006085;55;0;1.2;alerta
3381;4006086;55;0;1.2;alerta
3382;4006088;55;0;1.2;alerta
3384;4006112;55;0;1.2;alerta
3385;4006121;55;0;1.2;alerta
148;4000189;55;0;1.2;alerta
3386;4006131;55;0;1.2;alerta
3397;4006158;55;0;1.2;alerta
203;4000254;55;0;1.2;alerta
187;4000238;55;0;1.2;alerta
186;4000237;55;0;1.2;alerta
3489;4006262;55;0;1.2;alerta
3462;4006234;55;0;1.2;alerta
3470;4006242;55;0;1.2;alerta
3471;4006243;55;1;55.0;alerta
3473;4006245;55;0;1.2;alerta
3492;4006265;55;0;1.2;alerta
3352;4006031;55;0;1.2;alerta
246;4000300;55;1;55.0;alerta
3071;4005555;55;0;1.2;alerta
3014;4005434;55;0;1.2;alerta
3027;4005448;55;0;1.2;alerta
3034;4005455;55;0;1.2;alerta
3040;4005461;55;2;27.5;alerta
3048;4005490;55;0;1.2;alerta
280;4000336;55;0;1.2;alerta
3049;4005491;55;0;1.2;alerta
3512;4006292;55;0;1.2;alerta
276;4000332;55;0;1.2;alerta
3075;4005562;55;1;55.0;alerta
3211;4005813;55;0;1.2;alerta
3086;4005603;55;0;1.2;alerta
3505;4006283;55;17;3.24;alerta
3092;4005615;55;0;1.2;alerta
3096;4005632;55;0;1.2;alerta
3502;4006279;55;0;1.2;alerta
3499;4006276;55;0;1.2;alerta
3133;4005701;55;0;1.2;alerta
3494;4006267;55;0;1.2;alerta
3493;4006266;55;0;1.2;alerta
3560;4006356;55;0;1.2;alerta
2574;4004069;55;0;1.2;alerta
2500;4003850;55;0;1.2;alerta
409;4000479;55;0;1.2;alerta
2255;4003520;55;0;1.2;alerta
2257;4003522;55;0;1.2;alerta
2276;4003551;55;1;55.0;alerta
4104;6000603;55;0;1.2;alerta
2278;4003553;55;0;1.2;alerta
2300;4003578;55;2;27.5;alerta
2308;4003590;55;1;55.0;alerta
4087;6000544;55;0;1.2;alerta
914;4001115;55;1;55.0;alerta
4082;6000537;55;0;1.2;alerta
3594;4006423;55;0;1.2;alerta
4077;6000531;55;0;1.2;alerta
2338;4003635;55;0;1.2;alerta
3983;6000388;55;0;1.2;alerta
2365;4003680;55;0;1.2;alerta
3981;6000386;55;2;27.5;alerta
3974;6000379;55;2;27.5;alerta
3973;6000378;55;0;1.2;alerta
3971;6000376;55;1;55.0;alerta
3607;4006436;55;0;1.2;alerta
2245;4003420;55;0;1.2;alerta
491;4000572;55;0;1.2;alerta
494;4000575;55;3;18.33;alerta
4122;6000626;55;0;1.2;alerta
2005;4002705;55;0;1.2;alerta
2006;4002706;55;0;1.2;alerta
2009;4002723;55;0;1.2;alerta
2011;4002725;55;0;1.2;alerta
568;4000663;55;0;1.2;alerta
2035;4002767;55;0;1.2;alerta
545;4000635;55;0;1.2;alerta
20;4000047;55;0;1.2;alerta
2083;4002871;55;0;1.2;alerta
2085;4002873;55;3;18.33;alerta
2086;4002874;55;4;13.75;alerta
2087;4002875;55;0;1.2;alerta
2090;4002879;55;0;1.2;alerta
2093;4002882;55;0;1.2;alerta
528;4000614;55;0;1.2;alerta
2105;4002925;55;0;1.2;alerta
2107;4002927;55;0;1.2;alerta
4124;6000628;55;0;1.2;alerta
2141;4003004;55;5;11.0;alerta
2386;4003705;55;0;1.2;alerta
150;4000191;55;0;1.2;alerta
2390;4003709;55;0;1.2;alerta
425;4000496;55;0;1.2;alerta
3561;4006360;55;1;55.0;alerta
3565;4006365;55;0;1.2;alerta
2482;4003824;55;0;1.2;alerta
3571;4006381;55;0;1.2;alerta
3574;4006386;55;0;1.2;alerta
2397;4003718;55;1;55.0;alerta
2484;4003827;55;0;1.2;alerta
3575;4006387;55;0;1.2;alerta
3576;4006388;55;0;1.2;alerta
2449;4003774;55;0;1.2;alerta
2448;4003773;55;0;1.2;alerta
3592;4006421;55;5;11.0;alerta
