Material;Texto breve material
4000287;CILODEX SUS
4000288;CLARIL SOL
4000289;CLAROFT SOL
4000290;GLAUTIMOL 0,5PC
4000291;LACRIMA PLUS
4000292;MAXIDEX SUS
4000293;MAXITROL POM
4000294;MAXITROL SUS
4000295;OFTANE LUBRIC
4000296;PATANOL S
4000297;PATANOL SOL
4000298;SYSTANE UL
4000299;SYSTANE UL
4000300;DUO-TRAVATAN BAK
4000301;TRAVATAN C/2,5ML
4000302;TOBRADEX SOLUCAO
4000303;TOBREX POM
4000304;TOBREX SOL
4000305;TRISORB SOL
4000306;VIGADEXA SOL
4000307;VIGAMOX 0,5
4000309;COMBIGAN SOL
4000311;FRESH TEARS
4000312;OPTIVE SOL
4000313;PRED FORT
4000314;RELESTAT 0,05%
4000315;ZYMAR SOL
4000316;ZYPRED SOL
4000317;ARPADOL 400MG
4000318;FLANCOX 300MG
4000319;FLANCOX 400MG
4000320;FLANCOX 400MG
4000321;LABIRIN 16MG
4000322;LABIRIN 24MG
4000323;LEVOXIN 500MG
4000324;MECLIN 25MG
4000325;MIOSAN CAF
4000326;MIOSAN CAF
4000327;ATACAND 8MG
4000328;ATACAND 16MG
4000329;ATACAND COMB
4000330;ATACAND HCT
4000331;ATACAND HCT
4000332;BUDECORT AQUA
4000333;CRESTOR 10MG
4000334;CRESTOR 20MG
4000335;CRESTOR 5MG
4000336;BUDECORT AQUA
4000337;PULMICORT 0,25MG
4000338;PULMICORT 0,50MG
4000339;SELOZOK 25MG
4000340;SELOZOK 50MG
4000342;VIMOVO 500MG+20MG
4000343;XYLOCAINA POM
4000345;ASPIRINA PREVENT
4000346;CICLOPRIMOGYNA 21DRG
4000348;DIANE 35
4000349;CLIMENE 2MG
4000350;FEMIANE 21DRG
4000352;LEVITRA 10MG
4000354;MICROVLAR 1ENV
4000355;PRIMOGYNA 1MG
4000356;YASMIN 21CPR
4000357;YAZ C/24CP
4000358;XARELTO 15MG
4000359;XARELTO 15MG
4000360;XARELTO 20MG
4000361;ABLOK PLUS
4000362;ABLOK PLUS
4000363;ABLOK PLUS
4000364;ARADOIS 50MG
4000365;ARADOIS H
4000366;DTN-FOL C/90CP
4000367;LEVEL COM
4000368;LIPLESS 100MG
4000369;LIPLESS 100MGC/60CP
4000370;PRESS PLUS
4000371;PRESS PLUS
4000372;PRESSAT 2,5MG
4000373;PRESSAT 5MG
4000374;PRESSAT 10MG
4000375;QUINOFLOX 500MG
4000376;TANTIN C/28CP
4000377;ANGIPRESS 25MG
4000378;ANGIPRESS 50MG
4000379;ANGIPRESS CD
4000380;ANGIPRESS CD
4000381;ANGIPRESS CD
4000382;BUSONID 32MCG
4000383;BUSONID 64MCG
4000384;BUSONID AQUOSO
4000385;BETALOR 5/25MG
4000386;BETALOR 5/50MG
4000387;CORUS 25MG
4000388;CORUS 50MG
4000389;CORDAREX 5MG
4000390;CORDAREX 2,5MG
4000391;CORUS H
4000392;LOTAR 5MG/50MG
4000393;LOTAR 2,5MG/50MG
4000394;LOTAR 5MG/100MG
4000395;SINERGEN 5/20MG
4000396;SINERGEN 2,5/10MG
4000397;CLENIL A
4000398;FLUIMUCIL 100MG
4000399;FLUIMUCIL XPE
4000400;FLUIMUCIL D
4000401;SEKI XAROPE
4000403;BESEROL C/4CP
4000404;PENETRO SOL
4000405;BINELLI GTS
4000408;ELOTIN GTS
4000409;BIALERGE C/20CP
4000410;BIALERGE ELIXIR
4000411;BIALERGE SOL
4000412;VI-FERRIN C/60CP
4000413;VI-FERRIN ELIXIR
4000414;VI-FERRIN GTS
4000415;ARTOGLICO 1,5G
4000416;BRASART HCT
4000417;BRASART HCT
4000418;BRASART HCT
4000419;CONTRACEP INJ
4000420;ESOMEX 20MG
4000421;ESOMEX 20MG
4000423;NEUTROFER FOLICO
4000424;NEUTROFER FOLICO
4000425;NEUTROFER 300MG
4000426;NEUTROFER GTS
4000427;PREG-LESS 150MG+10MG
4000428;PROFLOX 500MG
4000429;PROFLOX 500MG
4000430;SIGMA-CLAV BD
4000431;SIGMALIV 5MG
4000432;SIGMALIV XPE
4000433;SOMALGIN CARDIO
4000434;TORAGESIC SLS
4000435;TROPINAL C/20CP
4000436;TROPINAL SOL
4000437;VELAMOX 250MG
4000438;VELAMOX 500MG
4000439;VELAMOX BD
4000440;VELAMOX BD
4000441;DIVA C/21CP
4000442;ABRILAR XPE
4000443;ADOLESS 28CPR
4000444;ANNITA 20MG
4000445;ANNITA 20MG
4000446;ANNITA 500MG
4000448;DOLAMIN 125MG
4000449;DOLAMIN FLEX
4000450;GYNOMAX CR
4000451;GYNOPAC CR
4000452;INICOX DP
4000453;LIDOSPORIN SOL
4000454;MARESIS AR
4000455;MARESIS BABY
4000456;MARESIS SOL
4000457;MATERFOLIC 5MG
4000458;MAREVAN 5
4000459;OTO-BETNOVATE SOL
4000460;OTOSPORIN SOL
4000464;AEROLIN SPRAY
4000466;AVAMYS 27,5MCG
4000467;CLAVULIN 250MG
4000468;CLAVULIN BD
4000469;CLAVULIN BD
4000470;COMBODART 30CAPS
4000471;FLIXOTIDE 250MCG
4000472;FLIXOTIDE 50MCG
4000473;NARAMIG 2,5MG
4000474;SERETIDE 25/125MCG
4000475;SERETIDE 50/100MCG
4000476;SERETIDE 50/250MCG
4000477;ZENTEL 400MG
4000478;ZENTEL SUSP
4000479;LYSTATE 120
4000480;UNO CICLO
4000481;ADEFORTE GTS
4000482;ETNA C/50
4000483;BELARA C/21CP
4000484;FLORAX ADT
4000485;FLORAX PED
4000486;FLORAX SM
4000487;FLORAX SM
4000488;IMOSEC 2MG
4000489;KALYAMON KIDS
4000491;MOTILIUM 10MG
4000492;MOTILIUM 10MG
4000493;MOTILIUM SUSP
4000494;MOTILIUM SUSP
4000495;PANTELMIN 500MG
4000496;PANTELMIN SUSP
4000497;BIOFENAC AEROSOL
4000498;BIOFENAC DI
4000500;MAXIFLOX SOL
4000501;MAXIFLOX -D
4000502;PLENIGELL SOL
4000503;TOBRACIN SUSP
4000505;ECOFILM SOL
4000506;ANCORON 100MG
4000507;ANCORON 200MG
4000508;TOPISON 1MG/G
4000509;TOPISON 1MG/G
4000510;CARDILOL 12,5MG
4000511;CARDILOL 25MG
4000512;CARDILOL 3,125MG
4000513;CARDILOL 6,25MG
4000514;DIMINUT C/21CP
4000515;ELANI 28
4000516;ELANI CICLO
4000517;IUMI 3MG+20MCG
4000518;NATIFA C/28CP
4000519;SUMAX 25MG
4000520;VENZER HCT
4000521;CIALIS 20MG
4000523;CIALIS 20MG
4000524;DESONOL 0,05
4000525;DESONOL CREME
4000526;KOLANTYL GEL
4000528;OSTEONUTRI 600MG/400UI
4000529;PYLORIPAC IBP
4000530;PYLORIPAC RET
4000531;VALTRIAN 50MG
4000533;JANUMET 50/1000MG
4000534;JANUMET 50/500MG
4000535;JANUMET 50/850MG
4000536;JANUMET XR
4000537;JANUMET XR
4000539;JANUVIA 100MG
4000540;JANUVIA 50MG
4000541;GLIFAGE 1G
4000542;GLIFAGE XR
4000543;GLIFAGE XR
4000544;GLUCOVANCE 500/5MG
4000545;DEXA-CITONEURIN NFF
4000547;ATAK CLAV
4000548;ATAK CLAV
4000549;ATAK SUSP
4000550;KOIDE D
4000551;KOIDE ELIXIR
4000552;KOIDEXA ELIXIR
4000553;MUD CREME
4000554;TORANTE XPE
4000555;TRIAXIN IM
4000556;FORFIG 100MG
4000557;FORFIG 200MG
4000558;MINILAX C/7BS
4000559;SILIMALON C/20CP
4000560;TRANSAMIN 250MG
4000561;VALERIANE NIKKHO
4000562;APRESOLINA 50MG
4000563;CATAFLAM 50MG
4000564;CATAFLAM 50MG
4000566;CATAFLAM D
4000567;DIOVAN AMLO
4000568;DIOVAN HCT
4000569;DIOVAN HCT
4000572;FORASEQ 12/400MCG
4000573;GALVUS 50MG
4000574;GALVUS MET
4000575;GALVUS MET
4000576;GALVUS MET
4000577;VOLTAREN RETARD
4000578;VOLTAREN SR
4000579;BACTRIM 200/40MG
4000580;BACTRIM 400/80MG
4000581;BACTRIM F
4000582;BACTRIM F
4000583;CERAZETTE 75MG
4000584;DAMATER C/30CP
4000585;MERCILON 150/20MCG
4000587;NASONEX SPY
4000588;NUVARING 11,7+2,7MG/1AN
4000590;DIAMICRON MR
4000591;DIAMICRON MR
4000592;FILINAR 10MG
4000593;FILINAR 5MG
4000594;PHOSFOENEMA C/130ML
4000595;SIMECO PLUS
4000596;METICORTEN 5MG
4000597;METICORTEN 20MG
4000598;HELLEVA 80MG
4000599;HELLEVA 80MG
4000600;ALDACTONE 25MG
4000601;ALDACTONE 50MG
4000603;PONSTAN 500MG
4000606;LIPITOR 10MG
4000607;LIPITOR 20MG
4000608;MINIDIAB 5MG
4000609;MOTRIN 600MG
4000610;VIAGRA 25MG
4000611;VIAGRA 50MG
4000612;VIAGRA 50MG
4000613;DIABINESE 250MG
4000614;DEPO-PROVERA 150MG
4000616;FELDENE SL
4000617;NORDETTE C/21CP
4000618;OLMETEC 20MG
4000619;OLMETEC HCT
4000620;OLMETEC HCT
4000622;LA KESIA
4000623;POINTTS SISTEMA
4000624;CATAFLAM SPORT
4000625;CATAFLAM SPORT
4000626;CATAFLAMPRO 12H
4000627;CATAFLAMPRO 12H
4000628;CATAFLAMPRO AEROSOL
4000629;CATAFLAMPRO ARTRITE
4000630;CATAFLAMPRO EMULGEL
4000631;CATAFLAMPRO EMULGEL
4000634;OTRIVINA SOL
4000635;PRIVINA SOL
4000637;ANADOR 500MG
4000638;ANADOR 500MG
4000639;BISOLVON EXPECT
4000640;BISOLVON EXPECT
4000641;BISOLVON EXPECT
4000642;BUSCODUO C/20COMP
4000644;BUSCOFEM 400MG
4000645;BUSCOPAN 10MG
4000646;BUSCOPAN COMPOSTO
4000648;BUSCOPAN GTS
4000649;MUCOSOLVAN GOTAS
4000650;MUCOSOLVAN EXP
4000651;MUCOSOLVAN EXP
4000653;PHARMATON KIDDI
4000654;ICACORT CREME
4000655;ICADEN CREME
4000657;ULTRAPROCT LDO
4000658;BAYCUTEN-N CREME
4000659;CANESTEN CREME
4000660;CANESTEN SPRAY
4000661;CLARITIN 10MG
4000662;CLARITIN 10MG
4000663;CLARITIN XPE
4000664;GINO-CANESTEN 1PC
4000665;GINO-CANESTEN 2PC
4000667;NATELE GELATINOSAS
4000668;BENERVA 300MG
4000669;EPHYNAL 400MG
4000670;FLANAX 275MG
4000671;FLANAX 550MG
4000673;PROTOVIT PLUS
4000674;REDOXON 1G
4000675;REDOXON 2G
4000677;REDOXON 200MG
4000678;ENERGIL C
4000679;ENERGIL C
4000680;ENERGIL C
4000681;ENERGIL C
4000682;ENERGIL C
4000684;NAC XPE
4000685;BALSAMO BENGUE
4000686;BALSAMO BENGUE
4000687;BALSAMO BENGUE
4000688;BALSAMO BENGUE
4000689;BALSAMO BENGUE
4000690;SALONPAS AIR
4000691;SALONPAS EMPL
4000692;SALONPAS EMPL
4000693;SALONPAS GEL
4000694;SALONPAS GEL
4000695;SALONPAS ICE
4000696;SALONPAS PAIN
4000697;PEDIALYTE 45
4000698;PEDIALYTE MAX
4000700;PEDIALYTE 60
4000703;LUFTAL 40MG
4000704;LUFTAL GTS
4000705;LUFTAL MAX
4000706;NALDECON DIA
4000707;NALDECON NOITE
4000708;STREPSILS MEL
4000709;STREPSILS MEL
4000710;STREPSILS MEL
4000711;ACCUVIT C/30CP
4000712;ANDANTOL GEL
4000713;CARNABOL C/20CP
4000714;CARNABOL KIDS
4000715;DAYVIT KIDS
4000716;SINTOCALMY 300MG
4000717;VITA E
4000719;DECONGEX PLUS
4000720;DECONGEX PLUS
4000721;DECONGEX PLUS
4000722;DORALIV 100MG
4000723;FLAGASS 125MG
4000724;FLAGASS GTS
4000725;FLOGORAL COLUTORIO
4000726;FLOGORAL COLUTORIO
4000727;FLOGORAL LARANJA
4000728;FLOGORAL LIMAO
4000729;FLOGORAL MENTA
4000730;FLOGORAL SPRAY
4000731;FLOGORAL SPRAY
4000732;TRANSPULMIN BALS
4000733;TRANSPULMIN INF
4000734;TRANSPULMIN XPE
4000735;TRANSPULMIN XPE
4000736;SORINE 0,9P
4000737;SORINE PED
4000738;SORINE H
4000739;SORINE SSC
4000740;SORINE SSC
4000748;SAL DE
4000749;SAL DE
4000755;SAL DE
4000756;SAL DE
4000757;SAL DE
4000758;SAL DE
4000759;SAL DE
4000760;SAL DE
4000761;SONRIDOR 2CPR
4000762;SONRIDOR CAF
4000763;SONRIDOR CAF
4000765;SONRISAL TRAD
4000767;ADDERA D3
4000768;ADDERA D3
4000769;ADDERA D3
4000770;ADDERA D3
4000771;ADDERA D3
4000772;ADDERA D3
4000773;ALIVIUM 100MG
4000774;ALIVIUM 30MG
4000775;ALIVIUM 400MG
4000776;ALIVIUM 50MG
4000777;ALIVIUM 600MG
4000778;APRACUR 6CPR
4000782;BENEGRIP 6CPR
4000783;BENEGRIP 500MG
4000784;BENEGRIP MULTI
4000786;CALMINEX ICE
4000787;CALMINEX ICE
4000788;CORISTINA D
4000791;DORIL 6CPR
4000792;DORIL ENXAQUECA
4000793;EPOCLER ABACAXI
4000794;EPOCLER TRAD
4000795;ENGOV 6CPR
4000799;ESTOMAZIL ABACAXI
4000801;ESTOMAZIL LARANJA
4000802;GELOL AERO
4000804;GELOL POM
4000806;LACTO PURGA
4000809;MELHORAL INFANTIL
4000810;MERTHIOLATE SPRAY
4000811;POLARAMINE 10MG
4000812;POLARAMINE 2MG
4000813;POLARAMINE 6MG
4000815;POLARAMINE GTS
4000816;POLARAMINE LIQ
4000818;RINOSORO GTS
4000819;RINOSORO JET
4000820;RINOSORO SIC
4000821;RINOSORO SIC
4000822;RINOSORO SIC
4000823;TAMARINE 12MG
4000824;TAMARINE 6MG
4000825;NICORETTE 2MG
4000826;NICORETTE ICE
4000827;BENALET FRAMB
4000828;BENALET FRAMBOESA
4000829;BENALET MEL
4000830;BENALET MENTA
4000831;BENALET MENTA
4000832;MYLANTA PLUS
4000833;MYLANTA PLUS
4000835;TYLENOL 500MG
4000836;TYLENOL 500MG
4000837;TYLENOL 750MG
4000838;TYLENOL 750MG
4000839;TYLENOL BEBE
4000840;TYLENOL CRIANCA
4000841;TYLENOL DC
4000842;TYLENOL GTS
4000843;TYLENOL MASTIGAVEL
4000844;ADVIL 400MG
4000845;ADVIL 400MG
4000846;ADVIL 400MG
4000847;ADVIL 400MG
4000850;CALTRATE 600+D
4000853;VICK PYRENA
4000854;VICK VAPORUB
4000855;VICK VAPORUB
4000856;VICK PASTILHA
4000857;CEWIN 1G
4000859;CEWIN 500MG
4000860;CEWIN 500
4000861;CEWIN GTS
4000862;DORFLEX 10CPR
4000863;DORFLEX 36CPR
4000865;DORFLEX ICY
4000866;DORFLEX ICY
4000868;DORFLEX ICY
4000869;DORFLEX ICY
4000870;NOVALGINA 1G
4000871;NOVALGINA 1G
4000872;NOVALGINA GTS
4000873;NOVALGINA GTS
4000874;NOVALGINA SOL
4000875;NATURETTI C/16CP
4000876;NATURETTI GELEIA
4000877;OS-CAL 500MG
4000878;OS-CAL D
4000879;TARGIFOR C
4000880;TARGIFOR C
4000882;HEBRIN MICOSES
4000883;NEO CEBETIL
4000884;NUTRIMAIZ SM
4000886;VODOL MICONAZOL
4000887;VODOL MICONAZOL
4000888;VODOL MICONAZOL
4000889;ANDRIODERMOL LIQ
4000890;FOLDAN LOÃÃO
4000891;CEBION GTS
4000892;CEBION 1G
4000893;FLORATIL 100MG
4000894;FLORATIL 200MG
4000895;FLORATIL PED
4000896;FLORATIL PED
4000897;DESALEX XAROPE
4000898;DESALEX XAROPE
4000899;MUVINLAX LIMAO
4000900;SALSEP 360
4000901;SALSEP SOL
4000902;PASSAJA 4ML
4000903;LACTULONA XPE
4000904;LACTULONA XPE
4000905;ELIXIR THEOGORICO
4000906;LEITE MAGNESIA
4000907;LEITE MAGNESIA
4000908;LEITE MAGNESIA
4000909;LEITE MAGNESIA
4000910;KWELL CREME
4000911;MELXI SUS
4000916;HYABAK SOL
4000917;NIQUITIN CLEAR
4000918;NIQUITIN CLEAR
4000919;MELAGRIAO XAROPE
4000921;CAMOMILA C/150ML
4000922;ELIXIR PAREGORICO
4000923;FIGATIL C/20CP
4000924;FIGATIL C/150ML
4000925;MELAGRIAO PROPOLIVE
4000926;MINANCORA POMADA
4000927;FLOGORAL CEREJA
4000928;PROLIVE C/15CP
4000929;PROLIVE C/30CP
4000930;COMPLEXO OMEGA
4000931;NOREGYNA INJ
4000933;BROMELIN PROPOLIS
4000934;BROMELIN SUS
4000935;PYR-PAM C/6CP
4000936;PYR-PAM SUSP
4000937;RILAN 2
4000939;OMEGA MATER
4000940;ABC CREME
4000941;AERODINI AEROSOL
4000942;AH-ZUL 50MG
4000943;AH-ZUL 50MG
4000944;ALLEXOFEDRIN 120MG
4000945;ALLEXOFEDRIN 180MG
4000946;ALLEXOFEDRIN D
4000947;ANTIVIRAX 200MG
4000948;ATENOLAB 100MG
4000953;BETSONA CREME
4000954;BETSONA POMADATUBO
4000957;BRONTEK XPE
4000959;CELERGIN 2MG+0,25MG
4000960;CELERGIN 2MG+0,25MG
4000961;CLINDAMIN-C 300MG
4000962;COCICHIMIL 0,5MG
4000963;CORTICORTEN 5MG
4000964;CORTICORTEN 20MG
4000965;DESLORANA 5MG
4000966;DESTADIN 5MG
4000969;DIGESTINA 10MG
4000970;DIGESTINA 4MG
4000971;DOMPLIV 10MG
4000972;EMISTIN CX
4000973;EMISTIN CREME
4000974;EXPECTOR XPE
4000975;ESPASMO DIMETILIV
4000977;EXPEC XPE
4000979;FLAVONID 450/50MG
4000980;FLOXICAM 20MG
4000982;FLUCOVIL 150MG
4000983;FLUCOVIL 150MG
4000984;GASTROBION GEL
4000986;GLIONIL 5MG
4000987;HELMIZOL GEL
4000988;HIDROFLUX 25MG
4000990;HISTADIN D
4000991;HISTADIN XPE
4000992;HISTAMIN 2MG
4000994;HIXILERG 2MG/ML
4000995;IVERNEO 6MG
4000996;IVERNEO 6MG
4000997;LEVERCTIN 6MG
4000998;LEVERCTIN 6MG
4000999;LIPNEO 100MG
4001000;LOZEPREL 20MG
4001002;NARIDRIN SOL
4001004;NAUSICALM GOTAS
4001008;NEOSULIDA 100MG
4001011;NISTRATIZIN 25000UI
4001012;NOCICLIN CX
4001014;OMENAX 40MG
4001015;OTOMIXYN GTS
4001016;OTOSYLASE SOL
4001019;PREGNOLAN 150MG/10MG
4001020;PRESSOMEDE 10MG
4001021;PRESSOMEDE 20MG
4001022;PROFERGAN 25MG
4001023;RENALAPRIL 5MG
4001025;SCALID 100MG
4001027;SECNIHEXAL 1000MG
4001028;SECNIHEXAL 1000MG
4001029;SINVASTACOR 10MG
4001030;SINVASTACOR 40MG
4001034;TENSALIV 10MG
4001035;TENSALIV 5MG
4001036;TIBIAL 2,5MG
4001037;TILOXINEO 20MG
4001040;TORSILAX CX
4001041;TORSILAX CX
4001042;TRIAXON IM
4001043;TRILAX CX
4001044;TRINODAZOL GELEIA
4001045;UNI VIR
4001046;VARICOSS CX
4001047;VARICOSS CX
4001048;VENAFLON 450+50MG
4001049;VERTIGIUM 10MG
4001053;CALCIODEX B12
4001054;CALCIODEX 500MG
4001055;CALOTRAT LIQUIDO
4001056;GLYTEOL BAUNILHA
4001057;GLYTEOL PED
4001058;GLYTEOL XPE
4001059;GOTAS PRECIOSAS
4001062;BROMIL XPE
4001063;BUPROVIL 300MG
4001064;BUSCOPLEX COMPOSTO
4001066;CARVEROL 250MG
4001070;CLORATADD 10MG
4001071;CLORATADD 5MG/5ML
4001073;COLACT 667MG/ML
4001074;COMPLEXO B
4001075;COMPLEXO B
4001077;DIMETILIV 75MG
4001078;DIMETILIV MAX
4001079;DORALGINA CX
4001080;DORSANOL 500MG
4001081;DORSANOL 750MG
4001084;DORSPAN COMPOSTO
4001086;EXPECTUSS XPE
4001087;FENAFLAN GEL
4001088;FENAREN 11,6MG/G
4001089;FIXA-CAL 625
4001090;FLOMICIN 100MG
4001091;FLUCISTEIN 200MG
4001092;FLUCISTEIN XPE
4001093;FLUITEINA 40MG/ML
4001094;FLUITEINA 600MG
4001096;FLUITEINA XPE
4001098;FUNGONAZOL SHAMPOO
4001100;GELO-BIO AEROSOL
4001101;GELO-BIO AEROSOL
4001102;GINO-MINOZOL CREME
4001103;GLICERIN ADT
4001104;HIDRAPLEX PO
4001105;HIDRAPLEX PO
4001106;HIDROXIMED 6
4001108;HYTOS PLUS
4001109;HYTOS PLUS
4001110;KELTRINA PLUS
4001111;LACTULIV XPE
4001112;LACTULIV XPE
4001113;L-ENEMA FRASCO130ML
4001115;MASSAGEOL AEROSOL
4001116;MAXALGINA GTS
4001117;MUCOFAN 50MG
4001118;MUCOFAN 20MG/ML
4001119;MULTIGRIP CX20CP
4001122;NEO BRASIL
4001123;NEOCOFLAN 11,6MG
