data,regiao,casosNovos
2020-03-19,Sul,29
2020-03-20,Brasil,283
2020-03-20,Centro-Oeste,51
2020-03-20,Nordeste,44
2020-03-20,Norte,7
2020-03-20,Sudeste,162
2020-03-20,Sul,19
2020-03-21,Brasil,224
2020-03-21,Centro-Oeste,26
2020-03-21,Nordeste,34
2020-03-21,Norte,11
2020-03-21,Sudeste,89
2020-03-21,Sul,64
2020-03-22,Brasil,418
2020-03-22,Centro-Oeste,23
2020-03-22,Nordeste,63
2020-03-22,Norte,23
2020-03-22,Sudeste,284
2020-03-22,Sul,25
2020-03-23,Brasil,345
2020-03-23,Centro-Oeste,18
2020-03-23,Nordeste,77
2020-03-23,Norte,10
2020-03-23,Sudeste,209
2020-03-23,Sul,31
2020-03-24,Brasil,310
2020-03-24,Centro-Oeste,38
2020-03-24,Nordeste,46
2020-03-24,Norte,23
2020-03-24,Sudeste,143
2020-03-24,Sul,60
2020-03-25,Brasil,232
2020-03-25,Centro-Oeste,4
2020-03-25,Nordeste,36
2020-03-25,Norte,23
2020-03-25,Sudeste,126
2020-03-25,Sul,43
2020-03-26,Brasil,482
2020-03-26,Centro-Oeste,54
2020-03-26,Nordeste,67
2020-03-26,Norte,21
2020-03-26,Sudeste,261
2020-03-26,Sul,79
2020-03-27,Brasil,502
2020-03-27,Centro-Oeste,43
2020-03-27,Nordeste,82
2020-03-27,Norte,19
2020-03-27,Sudeste,287
2020-03-27,Sul,71
2020-03-28,Brasil,486
2020-03-28,Centro-Oeste,42
2020-03-28,Nordeste,84
2020-03-28,Norte,39
2020-03-28,Sudeste,270
2020-03-28,Sul,51
2020-03-29,Brasil,353
2020-03-29,Centro-Oeste,39
2020-03-29,Nordeste,97
2020-03-29,Norte,43
2020-03-29,Sudeste,120
2020-03-29,Sul,54
2020-03-30,Brasil,323
2020-03-30,Centro-Oeste,36
2020-03-30,Nordeste,70
2020-03-30,Norte,27
2020-03-30,Sudeste,165
2020-03-30,Sul,25
2020-03-31,Brasil,1138
2020-03-31,Centro-Oeste,35
2020-03-31,Nordeste,85
2020-03-31,Norte,40
2020-03-31,Sudeste,899
2020-03-31,Sul,79
2020-04-01,Brasil,1117
2020-04-01,Centro-Oeste,34
2020-04-01,Nordeste,130
2020-04-01,Norte,43
2020-04-01,Sudeste,817
2020-04-01,Sul,93
2020-04-02,Brasil,1076
2020-04-02,Centro-Oeste,28
2020-04-02,Nordeste,175
2020-04-02,Norte,40
2020-04-02,Sudeste,765
2020-04-02,Sul,68
2020-04-03,Brasil,1146
2020-04-03,Centro-Oeste,62
2020-04-03,Nordeste,219
2020-04-03,Norte,50
2020-04-03,Sudeste,670
2020-04-03,Sul,145
2020-04-04,Brasil,1222
2020-04-04,Centro-Oeste,81
2020-04-04,Nordeste,243
2020-04-04,Norte,100
2020-04-04,Sudeste,637
2020-04-04,Sul,161
2020-04-05,Brasil,852
2020-04-05,Centro-Oeste,33
2020-04-05,Nordeste,238
2020-04-05,Norte,124
2020-04-05,Sudeste,383
2020-04-05,Sul,74
2020-04-06,Brasil,926
2020-04-06,Centro-Oeste,26
2020-04-06,Nordeste,287
2020-04-06,Norte,140
2020-04-06,Sudeste,368
2020-04-06,Sul,105
2020-04-07,Brasil,1661
2020-04-07,Centro-Oeste,49
2020-04-07,Nordeste,250
2020-04-07,Norte,160
2020-04-07,Sudeste,1092
2020-04-07,Sul,110
2020-04-08,Brasil,2210
2020-04-08,Centro-Oeste,59
2020-04-08,Nordeste,408
2020-04-08,Norte,271
2020-04-08,Sudeste,1349
2020-04-08,Sul,123
2020-04-09,Brasil,1930
2020-04-09,Centro-Oeste,61
2020-04-09,Nordeste,417
2020-04-09,Norte,138
2020-04-09,Sudeste,1137
2020-04-09,Sul,177
2020-04-10,Brasil,1781
2020-04-10,Centro-Oeste,52
2020-04-10,Nordeste,286
2020-04-10,Norte,145
2020-04-10,Sudeste,1054
2020-04-10,Sul,244
2020-04-11,Brasil,1089
2020-04-11,Centro-Oeste,54
2020-04-11,Nordeste,354
2020-04-11,Norte,158
2020-04-11,Sudeste,447
2020-04-11,Sul,76
2020-04-12,Brasil,1442
2020-04-12,Centro-Oeste,58
2020-04-12,Nordeste,364
2020-04-12,Norte,235
2020-04-12,Sudeste,674
2020-04-12,Sul,111
2020-04-13,Brasil,1261
2020-04-13,Centro-Oeste,51
2020-04-13,Nordeste,470
2020-04-13,Norte,130
2020-04-13,Sudeste,572
2020-04-13,Sul,38
2020-04-14,Brasil,1832
2020-04-14,Centro-Oeste,70
2020-04-14,Nordeste,497
2020-04-14,Norte,388
2020-04-14,Sudeste,757
2020-04-14,Sul,120
2020-04-15,Brasil,3058
2020-04-15,Centro-Oeste,70
2020-04-15,Nordeste,618
2020-04-15,Norte,166
2020-04-15,Sudeste,2118
2020-04-15,Sul,86
2020-04-16,Brasil,2105
2020-04-16,Centro-Oeste,63
2020-04-16,Nordeste,677
2020-04-16,Norte,294
2020-04-16,Sudeste,978
2020-04-16,Sul,93
2020-04-17,Brasil,3257
2020-04-17,Centro-Oeste,65
2020-04-17,Nordeste,961
2020-04-17,Norte,282
2020-04-17,Sudeste,1843
2020-04-17,Sul,106
2020-04-18,Brasil,2917
2020-04-18,Centro-Oeste,86
2020-04-18,Nordeste,1038
2020-04-18,Norte,258
2020-04-18,Sudeste,1399
2020-04-18,Sul,136
2020-04-19,Brasil,2055
2020-04-19,Centro-Oeste,90
2020-04-19,Nordeste,793
2020-04-19,Norte,275
2020-04-19,Sudeste,819
2020-04-19,Sul,78
2020-04-20,Brasil,1927
2020-04-20,Centro-Oeste,65
2020-04-20,Nordeste,788
2020-04-20,Norte,418
2020-04-20,Sudeste,551
2020-04-20,Sul,105
2020-04-21,Brasil,2498
2020-04-21,Centro-Oeste,29
2020-04-21,Nordeste,780
2020-04-21,Norte,322
2020-04-21,Sudeste,1297
2020-04-21,Sul,70
2020-04-22,Brasil,2678
2020-04-22,Centro-Oeste,86
2020-04-22,Nordeste,1101
2020-04-22,Norte,476
2020-04-22,Sudeste,929
2020-04-22,Sul,86
2020-04-23,Brasil,3735
2020-04-23,Centro-Oeste,81
2020-04-23,Nordeste,1412
2020-04-23,Norte,607
2020-04-23,Sudeste,1521
2020-04-23,Sul,114
2020-04-24,Brasil,3503
2020-04-24,Centro-Oeste,105
2020-04-24,Nordeste,1284
2020-04-24,Norte,630
2020-04-24,Sudeste,1325
2020-04-24,Sul,159
2020-04-25,Brasil,5514
2020-04-25,Centro-Oeste,55
2020-04-25,Nordeste,1628
2020-04-25,Norte,736
2020-04-25,Sudeste,3000
2020-04-25,Sul,95
2020-04-26,Brasil,3379
2020-04-26,Centro-Oeste,140
2020-04-26,Nordeste,1238
2020-04-26,Norte,720
2020-04-26,Sudeste,1169
2020-04-26,Sul,112
2020-04-27,Brasil,4613
2020-04-27,Centro-Oeste,134
2020-04-27,Nordeste,1896
2020-04-27,Norte,444
2020-04-27,Sudeste,1945
2020-04-27,Sul,194
2020-04-28,Brasil,5385
2020-04-28,Centro-Oeste,118
2020-04-28,Nordeste,1238
2020-04-28,Norte,701
2020-04-28,Sudeste,3046
2020-04-28,Sul,282
2020-04-29,Brasil,6276
2020-04-29,Centro-Oeste,146
2020-04-29,Nordeste,1779
2020-04-29,Norte,849
2020-04-29,Sudeste,2824
2020-04-29,Sul,678
2020-04-30,Brasil,7218
2020-04-30,Centro-Oeste,168
2020-04-30,Nordeste,2074
2020-04-30,Norte,1178
2020-04-30,Sudeste,3551
2020-04-30,Sul,247
2020-05-01,Brasil,5919
2020-05-01,Centro-Oeste,166
2020-05-01,Nordeste,1852
2020-05-01,Norte,1085
2020-05-01,Sudeste,2694
2020-05-01,Sul,122
2020-05-02,Brasil,5097
2020-05-02,Centro-Oeste,133
2020-05-02,Nordeste,2116
2020-05-02,Norte,917
2020-05-02,Sudeste,1554
2020-05-02,Sul,377
2020-05-03,Brasil,4751
2020-05-03,Centro-Oeste,120
2020-05-03,Nordeste,1536
2020-05-03,Norte,1602
2020-05-03,Sudeste,1424
2020-05-03,Sul,69
2020-05-04,Brasil,6633
2020-05-04,Centro-Oeste,139
2020-05-04,Nordeste,3576
2020-05-04,Norte,1286
2020-05-04,Sudeste,1366
2020-05-04,Sul,266
2020-05-05,Brasil,6935
2020-05-05,Centro-Oeste,141
2020-05-05,Nordeste,2043
2020-05-05,Norte,1700
2020-05-05,Sudeste,2817
2020-05-05,Sul,234
2020-05-06,Brasil,10503
2020-05-06,Centro-Oeste,209
2020-05-06,Nordeste,2590
2020-05-06,Norte,2113
2020-05-06,Sudeste,5023
2020-05-06,Sul,568
2020-05-07,Brasil,9888
2020-05-07,Centro-Oeste,416
2020-05-07,Nordeste,3926
2020-05-07,Norte,1902
2020-05-07,Sudeste,3371
2020-05-07,Sul,273
2020-05-08,Brasil,10222
2020-05-08,Centro-Oeste,265
2020-05-08,Nordeste,3567
2020-05-08,Norte,1830
2020-05-08,Sudeste,4064
2020-05-08,Sul,496
2020-05-09,Brasil,10611
2020-05-09,Centro-Oeste,215
2020-05-09,Nordeste,3632
2020-05-09,Norte,2358
2020-05-09,Sudeste,4119
2020-05-09,Sul,287
2020-05-10,Brasil,6760
2020-05-10,Centro-Oeste,163
2020-05-10,Nordeste,3344
2020-05-10,Norte,1630
2020-05-10,Sudeste,1467
2020-05-10,Sul,156
2020-05-11,Brasil,5632
2020-05-11,Centro-Oeste,153
2020-05-11,Nordeste,2608
2020-05-11,Norte,856
2020-05-11,Sudeste,1867
2020-05-11,Sul,148
2020-05-12,Brasil,9258
2020-05-12,Centro-Oeste,281
2020-05-12,Nordeste,3008
2020-05-12,Norte,2849
2020-05-12,Sudeste,2518
2020-05-12,Sul,602
2020-05-13,Brasil,11385
2020-05-13,Centro-Oeste,327
2020-05-13,Nordeste,3453
2020-05-13,Norte,3188
2020-05-13,Sudeste,4232
2020-05-13,Sul,185
2020-05-14,Brasil,13944
2020-05-14,Centro-Oeste,593
2020-05-14,Nordeste,4800
2020-05-14,Norte,3343
2020-05-14,Sudeste,4557
2020-05-14,Sul,651
2020-05-15,Brasil,15305
2020-05-15,Centro-Oeste,607
2020-05-15,Nordeste,5507
2020-05-15,Norte,3042
2020-05-15,Sudeste,5243
2020-05-15,Sul,906
2020-05-16,Brasil,14919
2020-05-16,Centro-Oeste,522
2020-05-16,Nordeste,5993
2020-05-16,Norte,2993
2020-05-16,Sudeste,5094
2020-05-16,Sul,317
2020-05-17,Brasil,7938
2020-05-17,Centro-Oeste,392
2020-05-17,Nordeste,3468
2020-05-17,Norte,1811
2020-05-17,Sudeste,2085
2020-05-17,Sul,182
2020-05-18,Brasil,13140
2020-05-18,Centro-Oeste,387
2020-05-18,Nordeste,4593
2020-05-18,Norte,2042
2020-05-18,Sudeste,5645
2020-05-18,Sul,473
2020-05-19,Brasil,17408
2020-05-19,Centro-Oeste,418
2020-05-19,Nordeste,7941
2020-05-19,Norte,3788
2020-05-19,Sudeste,4887
2020-05-19,Sul,374
2020-05-20,Brasil,19951
2020-05-20,Centro-Oeste,550
2020-05-20,Nordeste,6345
2020-05-20,Norte,4473
2020-05-20,Sudeste,7139
2020-05-20,Sul,1444
2020-05-21,Brasil,18508
2020-05-21,Centro-Oeste,688
2020-05-21,Nordeste,5707
2020-05-21,Norte,4615
2020-05-21,Sudeste,6693
2020-05-21,Sul,805
2020-05-22,Brasil,20803
2020-05-22,Centro-Oeste,703
2020-05-22,Nordeste,8410
2020-05-22,Norte,4595
2020-05-22,Sudeste,5673
2020-05-22,Sul,1422
2020-05-23,Brasil,16508
2020-05-23,Centro-Oeste,561
2020-05-23,Nordeste,5268
2020-05-23,Norte,4580
2020-05-23,Sudeste,5372
2020-05-23,Sul,727
2020-05-24,Brasil,15813
2020-05-24,Centro-Oeste,629
2020-05-24,Nordeste,6081
2020-05-24,Norte,3366
2020-05-24,Sudeste,5401
2020-05-24,Sul,336
2020-05-25,Brasil,11687
2020-05-25,Centro-Oeste,498
2020-05-25,Nordeste,4114
2020-05-25,Norte,3186
2020-05-25,Sudeste,3502
2020-05-25,Sul,387
2020-05-26,Brasil,16324
2020-05-26,Centro-Oeste,644
2020-05-26,Nordeste,5627
2020-05-26,Norte,5309
2020-05-26,Sudeste,4196
2020-05-26,Sul,548
2020-05-27,Brasil,20599
2020-05-27,Centro-Oeste,1020
2020-05-27,Nordeste,6083
2020-05-27,Norte,5747
2020-05-27,Sudeste,6930
2020-05-27,Sul,819
2020-05-28,Brasil,26417
2020-05-28,Centro-Oeste,974
2020-05-28,Nordeste,5986
2020-05-28,Norte,7107
2020-05-28,Sudeste,10264
2020-05-28,Sul,2086
2020-05-29,Brasil,26928
2020-05-29,Centro-Oeste,897
2020-05-29,Nordeste,8414
2020-05-29,Norte,6831
2020-05-29,Sudeste,10004
2020-05-29,Sul,782
2020-05-30,Brasil,33274
2020-05-30,Centro-Oeste,1338
2020-05-30,Nordeste,15110
2020-05-30,Norte,4348
2020-05-30,Sudeste,10985
2020-05-30,Sul,1493
2020-05-31,Brasil,15760
2020-05-31,Centro-Oeste,562
2020-05-31,Nordeste,7536
2020-05-31,Norte,2488
2020-05-31,Sudeste,4611
2020-05-31,Sul,563
2020-06-01,Brasil,12247
2020-06-01,Centro-Oeste,1125
2020-06-01,Nordeste,5695
2020-06-01,Norte,1493
2020-06-01,Sudeste,3325
2020-06-01,Sul,609
2020-06-02,Brasil,28936
2020-06-02,Centro-Oeste,1463
2020-06-02,Nordeste,9901
2020-06-02,Norte,5943
2020-06-02,Sudeste,10552
2020-06-02,Sul,1077
2020-06-03,Brasil,28633
2020-06-03,Centro-Oeste,1252
2020-06-03,Nordeste,10187
2020-06-03,Norte,6273
2020-06-03,Sudeste,9737
2020-06-03,Sul,1184
2020-06-04,Brasil,30925
2020-06-04,Centro-Oeste,1746
2020-06-04,Nordeste,11081
2020-06-04,Norte,7456
2020-06-04,Sudeste,9206
2020-06-04,Sul,1436
2020-06-05,Brasil,30830
2020-06-05,Centro-Oeste,2073
2020-06-05,Nordeste,11472
2020-06-05,Norte,6195
2020-06-05,Sudeste,9675
2020-06-05,Sul,1415
2020-06-06,Brasil,27075
2020-06-06,Centro-Oeste,2254
2020-06-06,Nordeste,8845
2020-06-06,Norte,5590
2020-06-06,Sudeste,9236
2020-06-06,Sul,1150
2020-06-07,Brasil,18912
2020-06-07,Centro-Oeste,1254
2020-06-07,Nordeste,6659
2020-06-07,Norte,3149
2020-06-07,Sudeste,7180
2020-06-07,Sul,670
2020-06-08,Brasil,15654
2020-06-08,Centro-Oeste,610
2020-06-08,Nordeste,6697
2020-06-08,Norte,3615
2020-06-08,Sudeste,4483
2020-06-08,Sul,249
2020-06-09,Brasil,32091
2020-06-09,Centro-Oeste,2228
2020-06-09,Nordeste,11380
2020-06-09,Norte,6472
2020-06-09,Sudeste,10549
2020-06-09,Sul,1462
2020-06-10,Brasil,32913
2020-06-10,Centro-Oeste,2386
2020-06-10,Nordeste,11611
2020-06-10,Norte,6829
2020-06-10,Sudeste,10351
2020-06-10,Sul,1736
2020-06-11,Brasil,30412
2020-06-11,Centro-Oeste,2318
2020-06-11,Nordeste,11847
2020-06-11,Norte,5275
2020-06-11,Sudeste,9438
2020-06-11,Sul,1534
2020-06-12,Brasil,25982
2020-06-12,Centro-Oeste,1497
2020-06-12,Nordeste,8679
2020-06-12,Norte,5055
2020-06-12,Sudeste,10075
2020-06-12,Sul,676
2020-06-13,Brasil,21704
2020-06-13,Centro-Oeste,1052
2020-06-13,Nordeste,7762
2020-06-13,Norte,4778
2020-06-13,Sudeste,7210
2020-06-13,Sul,902
2020-06-14,Brasil,17110
2020-06-14,Centro-Oeste,1451
2020-06-14,Nordeste,6196
2020-06-14,Norte,1676
2020-06-14,Sudeste,7339
2020-06-14,Sul,448
2020-06-15,Brasil,20647
2020-06-15,Centro-Oeste,3493
2020-06-15,Nordeste,8293
2020-06-15,Norte,1232
2020-06-15,Sudeste,6119
2020-06-15,Sul,1510
2020-06-16,Brasil,34918
2020-06-16,Centro-Oeste,3215
2020-06-16,Nordeste,10739
2020-06-16,Norte,5759
2020-06-16,Sudeste,12889
2020-06-16,Sul,2316
2020-06-17,Brasil,32188
2020-06-17,Centro-Oeste,3847
2020-06-17,Nordeste,12435
2020-06-17,Norte,6444
2020-06-17,Sudeste,7664
2020-06-17,Sul,1798
2020-06-18,Brasil,22765
2020-06-18,Centro-Oeste,2947
2020-06-18,Nordeste,8055
2020-06-18,Norte,5423
2020-06-18,Sudeste,4254
2020-06-18,Sul,2086
2020-06-19,Brasil,54771
2020-06-19,Centro-Oeste,4337
2020-06-19,Nordeste,14132
2020-06-19,Norte,6214
2020-06-19,Sudeste,27708
2020-06-19,Sul,2380
2020-06-20,Brasil,34666
2020-06-20,Centro-Oeste,3122
2020-06-20,Nordeste,13520
2020-06-20,Norte,7189
2020-06-20,Sudeste,8621
2020-06-20,Sul,2214
2020-06-21,Brasil,17459
2020-06-21,Centro-Oeste,2483
2020-06-21,Nordeste,5359
2020-06-21,Norte,3128
2020-06-21,Sudeste,4966
2020-06-21,Sul,1523
2020-06-22,Brasil,21432
2020-06-22,Centro-Oeste,2543
2020-06-22,Nordeste,5595
2020-06-22,Norte,5524
2020-06-22,Sudeste,6430
2020-06-22,Sul,1340
2020-06-23,Brasil,39436
2020-06-23,Centro-Oeste,3283
2020-06-23,Nordeste,11046
2020-06-23,Norte,9096
2020-06-23,Sudeste,12821
2020-06-23,Sul,3190
2020-06-24,Brasil,42725
2020-06-24,Centro-Oeste,4141
2020-06-24,Nordeste,12403
2020-06-24,Norte,7178
2020-06-24,Sudeste,15071
2020-06-24,Sul,3932
2020-06-25,Brasil,39483
2020-06-25,Centro-Oeste,3578
2020-06-25,Nordeste,11852
2020-06-25,Norte,5754
2020-06-25,Sudeste,15360
2020-06-25,Sul,2939
2020-06-26,Brasil,46860
2020-06-26,Centro-Oeste,5030
2020-06-26,Nordeste,12511
2020-06-26,Norte,6369
2020-06-26,Sudeste,20049
2020-06-26,Sul,2901
2020-06-27,Brasil,38693
2020-06-27,Centro-Oeste,3370
2020-06-27,Nordeste,18372
2020-06-27,Norte,4603
2020-06-27,Sudeste,9454
2020-06-27,Sul,2894
2020-06-28,Brasil,30476
2020-06-28,Centro-Oeste,3605
2020-06-28,Nordeste,8632
2020-06-28,Norte,4060
2020-06-28,Sudeste,12457
2020-06-28,Sul,1722
