,col1,col2,col3,col4
113,71.,Andre Fernandes Damaceno,Fluminense - RJ,S. de Britto Futebol
114,72.,André Ferreira Jorge,7 de Abril - RJ,Oeste Rio Eventos Ltda
115,73.,André Junio Pereira da Silva,Avaí - SC,Mf Sports Assessoria Esportiva Ltda -
117,74.,Andre Luis da Costa Alfredo,Atlético - GO,Cmk Assessoria Esportiva Ltda - Me
118,75.,Andre Luiz Baumer,Retrô - PE,Jc Soccer Talents Marketing Esportivo
120,76.,Andre Luiz Rosa,Joinville - SC,R7 Agenciamento de Atletas Ltda
121,77.,Andrey Nascimento dos Santos,Vasco da Gama - RJ,Gold Player Sports Assessoria E
123,78.,Andrey Souza Lima Abadia,Cruzeiro - MG,Ferreira Sports Assessoria E Marketing
125,79.,Andrigo Oliveira de Araujo,Csa - AL,Jmb Esportes E Organizacao de Eventos
127,80.,Ane Karoline de Almeida Lins,Grêmio - RS,Alexandre Rodrigues Carneiro - Me
128,81.,Angelo Samuel Chaves,Coritiba - PR,Gr2 Gestao E Marketing Ltda
129,82.,Anibal Gabriel Vega da Silva,Vitória - BA,De20 Representação E Assessoria
131,83.,Anselmo Ramon Alves Herculano,Chapecoense - SC,Tfm Agency Marketing Esportivo Ltda
132,84.,Anthoni Spier Souza,Internacional - RS,Nws Esportes Ltda - Me
133,85.,Anthoni Spier Souza,Internacional - RS,Nws Esportes Ltda - Me
134,86.,Antonio David Souza de Araujo,Ceará - CE,Madeira Sports Assessoria Esportiva
136,87.,Antonio David Souza de Araujo,Ceará - CE,Madeira Sports Assessoria Esportiva
138,88.,Antonio David Souza de Araujo,Ceará - CE,Madeira Sports Assessoria Esportiva
140,89.,Antonio Kennedy Sousa de Almeida,Fortaleza - CE,Trade Soccer Marketing Esportivo Eireli
141,90.,Antonio Robert Souza de Araujo,Grêmio - RS,Madeira Sports Assessoria Esportiva
143,91.,Antony Alves Santos,Corinthians - SP,Edson Luiz Toninello Junior
145,92.,Ari Moura Vieira Filho,Metropolitano - SC,Kuniy & W Sports Marketing Ltda
146,93.,Arnaldo Manoel de Almeida,Atlético - GO,Madeira Sports Assessoria Esportiva
148,94.,Arnaldo Manoel de Almeida,Atlético - GO,Madeira Sports Assessoria Esportiva
150,95.,Arthur Andrade Godinho,Metropolitano - SC,AS27 Esportes Ltda
151,96.,Arthur Augusto de Matos Soares,America - MG,Brustolini Guerra Assessoria Esportiva
153,97.,Arthur Caike do Nascimento Cruz,Cruzeiro - MG,Rec Sports Assessoria Esportiva - Eireli
154,98.,Arthur de Bem Ribas,Juventude - RS,Nws Esportes Ltda - Me
155,99.,Arthur de Oliveira Sales,Vasco da Gama - RJ,Pmsm Publicidade E Comunicacao Ltda
156,100.,Arthur Garcia da Motta,Fortaleza - CE,S. de Britto Futebol
157,101.,Arthur Gomes Lourenco,Atlético - GO,Neymar da Silva Santos
158,102.,Arthur Henrique Bittencourt,Coritiba - PR,Luzz Sports Ltda
159,103.,Arthur Henrique Vieira Araujo,America - MG,Brustolini Guerra Assessoria Esportiva
161,104.,Arthur Lanzarin Vanzela,Athletico Paranaense -,Tac 11 Esportes Ltda
163,105.,Arthur Largura Chaves,Avaí - SC,Agência 90 Minutos Empreendientos E
165,106.,Arthur Wenderrosky Sanches,Fluminense - RJ,Xinef Eventos Ltda
166,107.,Atila Guilherme Sales Freire,Ceará - CE,Vtn Image Representação E
168,108.,Aylon Darwin Tavella,Chapecoense - SC,D. Camargo Coracini Assessoria
170,109.,Aylon Darwin Tavella,Csa - AL,D. Camargo Coracini Assessoria
172,110.,Benedito Pereira da Silva Neto,Rio Branco - AC,Bruno Amorim Kling da Silveira
173,111.,Benjamin Kuscevic Jaramillo,Palmeiras - SP,Link Assessoria Esportiva E Propaganda
175,112.,Bento Matheus Krepski,Athletico Paranaense -,Adm Esporte Futebol E Agenciamento
177,113.,Bento Matheus Krepski,Athletico Paranaense -,Adm Esporte Futebol E Agenciamento
179,114.,Bergson Gustavo Silveira da Silva,Fortaleza - CE,Efraim Bittencourte Mendonça - Me
180,115.,Bernardo Vieira de Souza,Volta Redonda - RJ,Rcf Sports E Marketing Esportivo Ltda
181,116.,Bernardo Vieira de Souza,Volta Redonda - RJ,Rcf Sports E Marketing Esportivo Ltda
182,117.,Bismarck Possidonio Felizardo,Resende - RJ,Leo Rabello
183,118.,Blaise Loic Tsague,Planaltina - DF,Goldplay Assessoria Esportiva Ltda
184,119.,Blaise Loic Tsague,Figueirense - SC,Goldplay Assessoria Esportiva Ltda
185,120.,Bob Clifen Magalhães França,America - MG,Agon Empreendimentos Esportivos
187,121.,Bob Clifen Magalhães França,America - MG,Agon Empreendimentos Esportivos
189,122.,Brayan Damian Lucumi Lucumi,Coritiba – PR,R W M Martins Assessoria Esportiva
191,123.,Brayan Nascimento Vasconcelos,Chapecoense - SC,Pro Futebol Assessoria Administrativa
193,124.,Brenda Pinheiro dos Santos,Red Bull Bragantino - SP,Andre Luiz de Araujo Alves
194,125.,Brendo Candido do Nascimento,Vera Cruz - PE,Cla do Futebol Sports E Participacoes
196,126.,Breno Alexandre Campos de Paula,Uberlândia - MG,F J B Sports Ltda Me
197,127.,Breno Correia,Vasco da Gama - RJ,Promisses Sport E Marketing Eireli
198,128.,Breno de Almeida Mello Santana,Figueirense - SC,Ivan Rocha Limas
199,129.,Breno Henrique Vasconcelos Lopes,Palmeiras - SP,La Sports Assessoria Esportiva Eireli -
201,130.,Breno Renildo Silva,Rio Branco - AC,Bruno Amorim Kling da Silveira
202,131.,Breno Silvano Sossai,Santos - SP,Kah Esportes E Entretenimento Ltda
203,132.,Bruno Cesar Zanaki,Vasco da Gama - RJ,Lifepro Consultoria E Assessoria Ltda.
204,133.,Bruno Conceicao Praxedes,Internacional - RS,Link Assessoria Esportiva E Propaganda
206,134.,Bruno Cosendey Lobo Pinto,Santo André - SP,Fatto Gestao de Carreiras Ltda
207,135.,Bruno D Lucas Nascimento Lopes,America - MG,Minas Sports Representacoes
209,136.,Bruno da Silva Costa Leite,Athletico Paranaense -,Lifepro Consultoria E Assessoria Ltda.
211,137.,Bruno da Silva Lucindo,Democrata Fc - MG,Josino Judson Ribeiro
212,138.,Bruno dos Santos Nazario,Botafogo - RJ,Vtn Image Representação E
214,139.,Bruno Fernandes das Dores de Souza,Rio Branco - AC,Bruno Amorim Kling da Silveira
215,140.,Bruno Ferreira Mombra Rosa,Ferroviária - SP,Max Silva Sports Ltda
216,141.,Bruno Gomes da Silva Clevelario,Vasco da Gama - RJ,Marcos Antonio Bonfim da Silva
217,142.,Bruno Goncalves da Silva,Oeste - SP,Tycoon Sports - Assessoria E Marketing
219,143.,Bruno Henrique Bezerra,São Bento - SP,Diogo de Carvalho Nascimento Veiga -
221,144.,Bruno Henrique Lopes,Oeste - SP,Tycoon Sports - Assessoria E Marketing
223,145.,Bruno Henrique Marques Torres,Santos - SP,De20 Representação E Assessoria
225,146.,Bruno Jose de Souza,Cruzeiro - MG,Jmb Esportes E Organizacao de Eventos
227,147.,Bruno Menezes Cavalcante de Souza,Palmeiras - SP,B E C Consultoria Esportiva Ltda
228,148.,Bruno Michel Santana,Ponte Preta - SP,Mf Sports Assessoria Esportiva Ltda -
230,149.,Bruno Miguel de Oliveira,Oeste - SP,Tycoon Sports - Assessoria E Marketing
232,150.,Bruno Rafael Alves dos Santos,Botafogo - SP,E.a.s. Assessoria Esportiva Ltda
233,151.,Bruno Rafael Rodrigues do Nascimento,São Paulo - SP,Brazil Soccer Sports Management Ltda
234,152.,Bruno Roberto Pereira da Silva,Atlético - MG,Fms Gestao Esportiva Ltda
235,153.,Bruno Santos de Oliveira,Artsul Futebol Clube,Fabiano Soares dos Santos
237,154.,Bruno Viana Willemen da Silva,Flamengo - RJ,P & P Sport Management S.a.m.
238,155.,Caio Alan Tem Catem Goncalves,Athletico Paranaense -,Adm Esporte Futebol E Agenciamento
240,156.,Caio Alexandre Sousa E Silva,Botafogo - RJ,Marcelo Calil Petrus Filho
241,157.,Caio de Mello Vianna Pedrosa Galvão,Joinville - SC,Marcos Antonio Bonfim da Silva
242,158.,Caio de Mello Vianna Pedrosa Galvão,Bahia - BA,Marcos Antonio Bonfim da Silva
243,159.,Caio Fernando de Oliveira,Fluminense - RJ,Brazil Soccer Sports Management Ltda
244,160.,Caio Fernando de Oliveira,Fluminense - RJ,Brazil Soccer Sports Management Ltda
245,161.,Caio Henrique Ribas Dias de Araujo,Atlético - MG,Dg Assessoria Soccer Esportiva Ltda -
247,162.,Caio Leao do Amaral,Fluminense - RJ,The Agency Brasil Ltda
248,163.,Caio Monteiro Costa,Joinville - SC,Ferreira Representacoes Profissionais
250,164.,Caio Vinicius da Conceicao,Oeste - SP,Think Ball E Sports Consulting Ltda
251,165.,Caio Vinicius Garcia Guilhen,Ferroviária - SP,J D Sports Management Assessoria
253,166.,Caio Vitor da Silva Souza,Fluminense - RJ,B E C Consultoria Esportiva Ltda
254,167.,Caique Franca Godoy,Corinthians - SP,Elenko Sports Ltda
255,168.,Caique Silvio Souza da Silva,Vitória - BA,4 Comm Marketing Career
257,169.,Calebe Gonçalves Ferreira da Silva,Atlético - MG,Otb Lab Consultoria Esportiva Ltda
258,170.,Calebe Gonçalves Ferreira da Silva,Atlético - MG,Otb Lab Consultoria Esportiva Ltda
259,171.,Carla Jessica Pereira Nunes,São Paulo - SP,R W M Martins Assessoria Esportiva
261,172.,Carla Maria da Silva,São Paulo - SP,R W M Martins Assessoria Esportiva
263,173.,Carlos Alberto Gomes da Silva Filho,America - MG,M9 Sports Gestão Em Futebol Ltda
264,174.,Carlos Antonio de Oliveira Costa,Grêmio - RS,Vsr Assessoria E Propaganda Esportiva
265,175.,Carlos Daniel Barbosa da Silva,Flamengo - RJ,Tag Sports Gestao Esportiva Ltda
266,176.,Carlos Edgar de Oliveira,Tres Passos - RS,Cm Assessoria Esportiva Ltda
267,177.,Carlos Edgar de Oliveira,Figueirense - SC,Cm Assessoria Esportiva Ltda
268,178.,Carlos Edgar de Oliveira,Figueirense - SC,Cm Assessoria Esportiva Ltda
269,179.,Carlos Eduardo Barbosa da Silva,Vitória - BA,Wilson Kraychete Junior
270,180.,Carlos Eduardo da Silva Santos,Náutico - PE,Rr Publicidade E Comunicação Ltda -
272,181.,Carlos Eduardo Martins Melo,Ceará - CE,ASCETA SPORTS MANAGEMENT LTDA
273,182.,Carlos Eduardo Santos,Sport - PE,Magnitude Everest I S.a
274,183.,Carlos Eduardo Santos,Athletico Paranaense -,Magnitude Everest I S.a
276,184.,Carlos Eduardo Santos Oliveira,Ceará - CE,D. Camargo Coracini Assessoria
278,185.,Carlos Eduardo Trajano dos Santos,Atlético - MG,Rec Sports Assessoria Esportiva - Eireli
279,186.,Carlos Enrique Renteria Olaya,Botafogo - RJ,R W M Martins Assessoria Esportiva
281,187.,Carlos Henrique do Nascimento Freitas,Ferroviária - SP,Gold Sports Assessoria E Gestão
283,188.,Carlos Manuel de Resende Teodoro,Atlético - MG,Dr3 Consultoria Esportiva Ltda
284,189.,Carlos Matheus Santos de Carvalho,Palmeiras - SP,4 Comm Marketing Career
286,190.,Carlos Vinicios Santos de Jesus,Vasco da Gama - RJ,Tfm Agency Marketing Esportivo Ltda
287,191.,Carlosalonso Enrique Palacios Nunez,Internacional - RS,Pablo Alain Lecler Fluxá
288,192.,Cauan Emanuel Gomes Nunes,Flamengo - RJ,Bruna Elias Nogueira
289,193.,Cayo Henrique Nascimento Ferreira,Vasco da Gama - RJ,Lifepro Consultoria E Assessoria Ltda.
290,194.,Cesar Augusto Soares dos Reis Ribela,Vitória - BA,Luzz Sports Ltda
291,195.,Cesar Coelho Campos Junior,Tres Passos - RS,Cm Assessoria Esportiva Ltda
292,196.,Cesar Coelho Campos Junior,Internacional - RS,Cm Assessoria Esportiva Ltda
293,197.,Cesar Coelho Campos Junior,Botafogo - RJ,Cm Assessoria Esportiva Ltda
294,198.,Cesar Coelho Campos Junior,Tres Passos - RS,Cm Assessoria Esportiva Ltda
295,199.,Cesar Luiz dos Santos,Avaí - SC,L10 Assessoria E Empreendimentos
297,200.,Cesar Santos Bernardino,Ge Juventus - SC,Ivan Rocha Limas
298,201.,Charles Rigon Matos,Ceará - CE,Eurogol - Consultoria E Marketing
300,202.,Christian da Silva Barbosa,Red Bull Bragantino - SP,Lodi Assessoria Esportiva Ltda
301,203.,Christian Henrique Mota de Oliveira,Fluminense - RJ,Fmage Assessoria Esportiva S/a
303,204.,Christian Roberto Alves Cardoso,Athletico Paranaense -,Welt Sports Gestão de Carreiras Ltda
305,205.,Christofer David Grasse,Ceará - CE,Agon Empreendimentos Esportivos
307,206.,Cicero Santos,Botafogo - RJ,Brazil Soccer Sports Management Ltda
308,207.,Cidcley Severiano Natal,Figueirense Esporte,All Sports Gerenciamento E Consultoria
310,208.,Claudinei Davi Cortes Leme,Palmeiras - SP,Alcantara Consultoria Esportiva Eireli
311,209.,Claudio Coelho Salvatico,Atlético - MG,Maickel dos Santos Portela
312,210.,Claudio Coelho Salvatico,Atlético - MG,Maickel dos Santos Portela
313,211.,Claudio Henrique Paiva Porfirio,Cruzeiro - MG,J D Sports Management Assessoria
315,212.,Claudio Luiz Rodrigues Parise Leonel,Red Bull Bragantino - SP,Elenko Sports Ltda
316,213.,Claydson Brown da Silva,Red Bull Bragantino - SP,Border Intermediação de Negócios
318,214.,Cleber Augusto Tavares Silva,Campo Grande - CE,Soraia Batista Almeida Braide
319,215.,Cleberson Martins de Souza,Juventude - RS,B2f Marketing Esportivo Ltda - Epp
320,216.,Clebson Clementino do Nascimento,Palmeiras - SP,Cavalcanti Assessoria Desportiva Eireli
322,217.,Cleiton Camargos dos Anjos Silva,Figueirense Esporte,All Sports Gerenciamento E Consultoria
324,218.,Cristhian Kirst,Tres Passos - RS,Cm Assessoria Esportiva Ltda
325,219.,Cristhian Kirst,Botafogo - RJ,Cm Assessoria Esportiva Ltda
326,220.,Cristian Eduardo Theobald,Cruzeiro - RS,Prattes Planejamento E Gestao
328,221.,Cristiane Rozeira de Souza Silva,Santos - SP,Sow Sports Treinamentos E Negocios
330,222.,Cristiano Pereira de Oliveira,Ceará - CE,Fabiano Ferreira Assessorias Esportivas
332,223.,Cristiano Robert do Amaral,São Bento - SP,Diogo de Carvalho Nascimento Veiga -
334,224.,Cristiano Robert do Amaral,Coritiba - PR,Diogo de Carvalho Nascimento Veiga -
336,225.,Crystian Souza Carvalho,Figueirense - SC,Flavio Ribeiro de Oliveira - Me
337,226.,Daciel Elis dos Santos,São Caetano - SP,S. de Britto Futebol
338,227.,Daniel Bôaz Franklin Guimarães,São Paulo - SP,DESTAK SPORTS AGENCIAMENTO
339,,Moschen Sarmento,,PROFISSIONAL LTDA
340,228.,Daniel Borges da Silva,Atlético - MG,Dunkirk Esportes Ltda
341,229.,Daniel Cruz Pereira Luciano,Sport - PE,Juliano Rodrigues - Me
342,230.,Daniel da Rosa Paulino,Azuriz Futebol Clube -,Agon Empreendimentos Esportivos
344,231.,Daniel da Silva,Desportivo Brasil,Unick Football Consultoria E Marketing
346,232.,Daniel da Silva,Palmeiras - SP,Unick Football Consultoria E Marketing
348,233.,Daniel da Silveira Fagundes,Tres Passos - RS,Cm Assessoria Esportiva Ltda
349,234.,Daniel da Silveira Fagundes,Botafogo - RJ,Cm Assessoria Esportiva Ltda
350,235.,Daniel Fortunato Borges,America - MG,Elenko Sports Ltda
351,236.,Daniel Ghiggino Magalhães de Barros,Fluminense - RJ,Jc Soccer Talents Marketing Esportivo
353,237.,Daniel Henrique Silva,São Bento - SP,Mgs Consultoria Eireli
354,238.,Daniel Lima de Castro,Fluminense - RJ,Uj Football Talent Intermediação Eirelli
355,239.,Daniel Marcos Meira Novaes,Corinthians - SP,Nato & Zola Sports Agency
357,240.,Daniel Pedro Moura E Silva,Fluminense Fc de,Carpe Consultoria E Gestão Esportiva
359,241.,Daniel Pedro Moura E Silva,Metropolitano - SC,Carpe Consultoria E Gestão Esportiva
361,242.,Daniel Sergio Martins,Athletico Paranaense -,Ng Gerenciamento Consultoria E
363,243.,Danielli Pereira da Silva,São Paulo - SP,R W M Martins Assessoria Esportiva
365,244.,Danilo Barbosa da Silva,Palmeiras - SP,P & P Sport Management S.a.m.
366,245.,Danilo Barreto Matielo da Costa,Joinville - SC,Ruan Casemiro Stefankowski - Me
367,246.,Danilo Carvalho Barcelos,Fluminense - RJ,Brustolini Guerra Assessoria Esportiva
369,247.,Danilo Gomes Magalhaes,Atlético - GO,Luis Augusto Carvalho Consultoria
370,248.,Danrley Ulisses Paulo Dubois Feitosa,Palmeiras - SP,Connect World Consultoria Ltda - Me
371,249.,Darlan Pereira Mendes,Grêmio - RS,Prattes Planejamento E Gestao
373,250.,Davi Alves Soares,Fluminense - RJ,Buga Assessoria Em Marketing
375,251.,Davi Cardoso Kuhn,Figueirense - SC,U1st Sports Brasil Consultoria Esportiva
377,252.,Davi Duarte Schuindt,Fluminense - RJ,Fuse Sport Maneger Assessoria E
379,253.,Davi Gabriel Machado Pereira,Oeste - SP,Tycoon Sports - Assessoria E Marketing
381,254.,Davi Machado dos Santos Araujo,Botafogo - RJ,F J B Sports Ltda Me
382,255.,David de Souza,Capital - DF,Leonardo Souza Silva
383,256.,David Rodrigues Apolinario,Santos - SP,Edson Luiz Toninello Junior
385,257.,David Samuel Kochem,Athletico Paranaense -,F.a.c.e. Future Assessoria de Carreiras
387,258.,Davyd Sena Francoso,Figueirense Esporte,All Sports Gerenciamento E Consultoria
389,259.,Debora Caroline Santos de Paula,Red Bull Bragantino - SP,Andre Luiz de Araujo Alves
390,260.,Deivid Aleksander Camejo Salgado,Chapecoense - SC,Squadra Assessoria E Negocios Ltda
391,261.,Deividi Oliveira da Silva,Cruzeiro - MG,Duarte Team Sports Eireli
392,262.,Deivisson Junior da Silva,Atlético Matogrossense,Atahide de Mello Paim Russi Duarte
394,263.,Dener Santos Silva,Portuguesa Santista - SP,Three Sports Group Agenciamento Ltda
395,264.,Denilson Claudio de Souza Cerqueira,Audax - SP,C.l.a. Consultoria Empresarial E
397,265.,Denilson Rodrigues Santos,Ceará - CE,Fabiano Ferreira Assessorias Esportivas
399,266.,Denilson Santana Lemos dos Santos,Retrô - PE,Shirley Cassia Oliveira Alves Figueiredo
400,267.,Denis de Oliveira Aguiar Junior,Bahia - BA,Madeira Sports Assessoria Esportiva
402,268.,Denival Tenório dos Santos,Sport - PE,Fc Consultoria Esportiva Ltda
403,269.,Denner Fernando Melz,Chapecoense - SC,Mr Assessoria Desportiva Eireli
404,270.,Denner Fernando Melz,Chapecoense - SC,Mr Assessoria Desportiva Eireli
405,271.,Derlan de Oliveira Bento,Chapecoense - SC,Mmb Sports Participações
406,272.,Diego Alves Carreira,Flamengo - RJ,Duts Marketing Esportivo Ltda - Me
407,273.,Diego Claudino da Silva,Retrô - PE,Albuquerque Soccer Atividades
409,274.,Diego de Souza Andrade,Grêmio - RS,Brazil Soccer Sports Management Ltda
410,275.,Diego Fabian Torres,Crb - AL,Emporio Representaçao E Assessoria
412,276.,Diego Fabian Torres,Crb - AL,Emporio Representaçao E Assessoria
414,277.,Diego Fernandes Simoes,Atlético - MG,Agon Empreendimentos Esportivos
416,278.,Diego Ferreira Matheus,America - MG,Brazil Soccer Sports Management Ltda
417,279.,Diego Henrique Lopes de Souza,Real Ariquemes - RO,Khodor Soccer & Marketing Ltda Epp
418,280.,Diego Henrique Souza da Silva,Cruzeiro - MG,Alcantara Consultoria Esportiva Eireli
419,281.,Diego Ivo Pires,Crb - AL,Emporio Representaçao E Assessoria
421,282.,Diego Ribas da Cunha,Flamengo - RJ,3d Negocios Imobiliarios E
423,283.,Diego Santana de Arruda,Aquidauanense - MS,Easy Play Servicos Esportivos Ltda
424,284.,Diego Silva Rodrigues,Cruzeiro - MG,Otb Lab Consultoria Esportiva Ltda
425,285.,Diego Tardelli Martins,Atlético - MG,Bf Assessoria E Propaganda Esportiva
426,286.,Diego Tardelli Martins,Atlético - MG,Bertolucci Assessoria E Propaganda
428,287.,Diego Terra Loureiro,Botafogo - RJ,Brazil Football Ltda
429,288.,Diego Terra Loureiro,Botafogo - RJ,Buga Assessoria Em Marketing
431,289.,Dijalma de Jesus Santos Júnior,Vasco da Gama - RJ,Ablima Gestao E Consultoria Em
433,290.,Diogenes Vinicius da Silva,Santos - SP,Premier Soccer Participaçoes
435,291.,Diogo Barbosa Mendanha,Grêmio - RS,Villa Sport Assessoria Em Marketing
437,292.,Diogo Bezerra de Oliveira,Atlético - MG,Maely Guilherme Botelho Coelho
438,293.,Diogo de Oliveira Amaral,America - MG,Engetronic Serviços Ltda
439,294.,Diogo Mesquita de Souza,Figueirense Esporte,All Sports Gerenciamento E Consultoria
441,295.,Diogo Vitor da Cruz,Corinthians - SP,Willian Barile Agati - Me
442,296.,Dione Miguel Ribas,América - RN,H Soccer Esporte Ltda
443,297.,Djalma Antonio da Silva Filho,Operário - PR,Footway Group Servicos Esportivos
445,298.,Djalma Celestino Evaristo,EC São Bernardo - SP,Mf Sports Assessoria Esportiva Ltda -
447,299.,Donizete Junior Marra Bahia,Santos - SP,Border Intermediação de Negócios
449,300.,Douglas Baggio de Oliveira Costa,Goiás - GO,LL Sports Consultoria E Agenciamento
451,301.,Douglas Borges,Botafogo - RJ,Flash Forward Representacao E
453,302.,Douglas Cunha Mattos Miranda,Internacional - RS,M9 Sports Gestão Em Futebol Ltda
