30.04.2020                                                               Saída dinâmica de lista                                                                       1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cod. fornecedor|Material|Qtd.pedido|Texto breve|Qtd.estoque
4916|4002862.0|50|TOBRAMICINA 3MG/ML|5
4916|4003325.0|24|GASTROL NATURAL|2
4916|4001745.0|50|CIPROFLOXACINO 500MG|5
4916|4002755.0|60|ENALAPRIL 20MG|6
4916|4002819.0|60|DROPROPIZINA XPE|6
4916|4003324.0|54|GASTROL 20PAST|5
4916|4002826.0|60|HIDROCLOROTIAZIDA 50MG|6
4916|4002295.0|100|ACIDO FUSIDICO|10
4916|4003340.0|60|IBUFRAN 600MG|6
4916|4001398.0|100|CLANISTIL SOLUÇÃO|10
4916|4001753.0|60|LOSARTANA POTASSICA|6
4916|4002833.0|50|MESALAZINA 400MG|5
4916|4001371.0|60|DROPROPIZINA XPE|6
4916|4001232.0|100|CLOBETASOL POMADA|10
4916|4002859.0|60|TADALAFILA 20MG|6
4916|4003317.0|36|FLAVONID 450/50MG|3
4916|4001766.0|60|NAPROXENO 550MG|6
4916|4002864.0|60|VALSARTANA 80MG|6
4916|4003338.0|60|IBUFRAN 300MG|6
4239|4002517.0|160|LACRIFILM COLIRIO|16
4239|4001088.0|72|FENAREN 11,6MG/G|7
12005|4005871.0|100|INDAPAMIDA LP|10
12005|4005881.0|100|MEMANTINA CLD|10
12005|4005880.0|100|MEMANTINA CLD|10
12005|4005879.0|50|MEMANTINA CLD|5
3593|4000721.0|80|DECONGEX PLUS|8
3593|4000066.0|70|CEFALIV 12CPR|7
3593|4003894.0|100|BUPROVIL 300MG|10
3593|4005720.0|30|COLIDIS 5ML|3
3593|4002218.0|20|SOYFEMME C/30CP|2
3593|4005050.0|36|ALCACHOFRA MILIAN|3
3593|4004125.0|24|TARFIC 0,3MG/G|2
3593|4000728.0|48|FLOGORAL LIMAO|4
3593|4002443.0|48|IRRITRATIL 200MG|4
3593|4003815.0|30|QUETROS 25MG|3
3593|4000732.0|48|TRANSPULMIN BALS|4
3593|4002092.0|36|REVANGE 37,5+325MG|3
3593|4000498.0|30|BIOFENAC DI|3
3593|4000061.0|36|BRAVAN 320MG|3
3593|4003677.0|20|ARISTAB 15MG|2
3593|4003816.0|13|QUETROS 100MG|1
3593|4002911.0|20|DORENE 150MG|2
3593|4005353.0|20|BIOMAG 10MG|2
3593|4003952.0|20|QUETROS 25MG|2
3593|4004312.0|20|DONAREN RETARD|2
3593|4000713.0|36|CARNABOL C/20CP|3
3593|4000733.0|24|TRANSPULMIN INF|2
3593|4002326.0|12|CATIVA SACHÊ|1
3593|4002087.0|20|BIOMAG 10MG|2
3593|4002088.0|20|BIOMAG 15MG|2
3593|4004076.0|60|PANTOPRAZOL 40MG|6
3593|4001505.0|24|PANTOPRAZOL 40MG|2
3593|4004069.0|50|ISOCONAZOL NITR|5
3593|4001499.0|24|MUPIROCINA 20MG|2
3593|4003624.0|20|BROMAZEPAM 3MG|2
3593|4003634.0|20|AMOXICILINA 500MG|2
3593|4004080.0|24|QUETIAPINA 100MG|2
3593|4004081.0|24|QUETIAPINA 200MG|2
3593|4004088.0|20|TRIANCINOLONA +|2
3593|4001454.0|20|ALGESTONA+EST 150+10MG|2
4239|4006391.0|100|DORFLEX 50|10
4239|4000869.0|48|DORFLEX ICY|4
4239|4000865.0|80|DORFLEX ICY|8
4239|4001622.0|20|OSCAL KIDS|2
4239|4001904.0|20|VITAWIN KIDS|2
10309|6000412.0|20|COOKIE BISCOLEVE|2
10309|6000413.0|20|COOKIE BISCOLEVE|2
10309|6000414.0|20|ROSQUINHA BISCOLEVE|2
10322|6000731.0|119|COMP D|11
10322|6000728.0|100|COMP D|10
3593|4001620.0|3|COREGA ULTRA|0
4239|4003564.0|1|IMECAP KIT|0
10227|6001415.0|1|CHOCOLATE KINDER|0
10227|6001415.0|2|CHOCOLATE KINDER|0
10227|6001415.0|1|CHOCOLATE KINDER|0
12005|4005908.0|80|PARACETAMOL 750MG|8
12005|4005850.0|40|CETOCONAZOL CR|4
12005|4005881.0|120|MEMANTINA CLD|12
12005|4005943.0|120|PRATIGLOS POM|12
12005|4005879.0|120|MEMANTINA CLD|12
12005|4005880.0|120|MEMANTINA CLD|12
12005|4005871.0|120|INDAPAMIDA LP|12
12005|4005865.0|120|FENOTEROL BRD|12
12005|4005833.0|120|BETA+AC SALICIL|12
12005|4005838.0|120|BETAMETASONA+AC SALICIL|12
12005|4005840.0|120|BETAMETASONA+CETOCONAZOL POM|12
4916|4003322.0|1|GASTROL ABACAXI|0
4916|4003833.0|1|GASTROL LIMAO|0
4916|4001448.0|300|NEOSORO SOL|30
4916|4005294.0|200|VITER C|20
4916|4005270.0|300|NITAZOXANIDA 500MG|30
4916|4001041.0|120|TORSILAX CX|12
4916|4002527.0|120|NEODIA 1,5MG|12
4916|4005292.0|100|VITER C|10
4916|4005289.0|200|STARFOR C|20
4916|4001765.0|240|NAPROXENO 550MG|24
4916|4000995.0|240|IVERNEO 6MG|24
4916|4001751.0|240|LEVONORGESTREL 1,5MG|24
4916|4002743.0|60|NIMESULIDA 100MG|6
4916|4001040.0|300|TORSILAX CX|30
4916|4000992.0|120|HISTAMIN 2MG|12
4916|4001127.0|60|NEOFOLICO 5MG|6
4916|4005090.0|100|IBUPROTRAT SUSPENSÃO|10
4916|4003013.0|60|NAPRONAX 550MG|6
4916|4003335.0|60|HIPODERMON 45G|6
4916|4001008.0|60|NEOSULIDA 100MG|6
4916|4006283.0|50|EQUALIV VITAMINC|5
4916|4005268.0|30|NEOLEFRIN C/20CP|3
4916|4004363.0|90|DECNAZOL 1000MG|9
4916|4001263.0|60|GLIBENCLAMIDA 5MG|6
4916|4002830.0|60|LORATADINA 10MG|6
4916|4001147.0|100|PROPIOSOL CREME|10
4916|4003341.0|60|IBUFRAN GTS|6
4916|4001760.0|60|SILDENAFILA 50MG|6
4916|4001129.0|180|NEOLEFRIN XPE|18
4916|4001366.0|120|DICLOFENAC DIETILAMONIO|12
4916|4002817.0|120|DICLOFENACO SODICO|12
4916|4000964.0|180|CORTICORTEN 20MG|18
4916|4001752.0|240|LOSARTANA POTASSICO|24
4916|4003337.0|60|HISTAMIN SUSP|6
4916|4001130.0|60|NEOPIRIDIN SPRAY|6
4916|4001230.0|200|CLOBETASOL CREME|20
4916|4001148.0|100|PROPIOSOL POMADA|10
4916|4001123.0|50|NEOCOFLAN 11,6MG|5
4916|4002777.0|60|ATENOLOL 50MG|6
4916|4001356.0|60|AMBROXOL ADT|6
4916|4001115.0|50|MASSAGEOL AEROSOL|5
4916|4002765.0|96|ORLISTATE 120MG|9
4916|4001284.0|60|MELOXICAM 15MG|6
4916|4005497.0|30|TADALAFILA 20MG|3
4916|4002835.0|60|METOPROLOL XR|6
4916|4003355.0|100|NEO FRESH|10
4916|4001763.0|100|DIPIRONA 500MG|10
4916|4000963.0|60|CORTICORTEN 5MG|6
4916|4005266.0|60|NEOCOPAN C/20CP|6
4916|4002855.0|30|PREDNISONA 5MG|3
4916|4002843.0|30|OMEPRAZOL 20MG|3
4916|4002744.0|60|PIROXICAM 20MG|6
4916|4002651.0|40|TINIDAZOL+MICONAZOL CR|4
4916|4001361.0|100|CETOCONAZOL CREME|10
4916|4001219.0|60|CETOCONAZOL 200MG|6
4916|4001105.0|30|HIDRAPLEX PO|3
4916|4001762.0|60|TENOXICAM 20MG|6
4916|4001756.0|100|NIMESULIDA GTS|10
4916|4002813.0|60|DEXCLORFENIRAMINA 2MG|6
4916|4002852.0|100|PARACETAMOL GTS|10
4916|4001759.0|60|SILDENAFILA 50MG|6
4916|4002823.0|30|FUROSEMIDA 40MG|3
4916|4004150.0|100|BRONQTRAT INF|10
4916|4003565.0|100|MATHERLLY GEST|10
4916|4003372.0|120|NEOMISTATIN CREME|12
4916|4002828.0|60|IBUPROFENO 400MG|6
4916|4001064.0|200|BUSCOPLEX COMPOSTO|20
4916|4001314.0|60|PREDNISONA 20MG|6
4916|4001315.0|120|PREDNISONA 20MG|12
4916|4000014.0|60|ASSEPTCARE SOL|6
4916|4002844.0|120|OMEPRAZOL 20MG|12
4916|4002849.0|120|PARACETAMOL 750MG|12
4916|4001357.0|120|AMBROXOL INF|12
4916|4003374.0|60|NEOSSOLVAN PED|6
4916|4002829.0|117|IBUPROFENO 50MG/ML|11
4916|4001242.0|60|DEXCLORF+BETAMETAS XPE|6
4916|4001124.0|100|NEOCOFLAN GEL|10
4916|4003343.0|60|LIPOXEN 120MG|6
4916|4002779.0|120|ATENOLOL 25MG|12
4916|4001795.0|108|RESFENOL LIQUIDO|10
4916|4002809.0|60|CLOPIDOGREL 75MG|6
4916|4003299.0|120|BROMIFEN GTS|12
4916|4001743.0|120|CAPTOPRIL 25MG|12
4916|4001049.0|120|VERTIGIUM 10MG|12
4916|4002757.0|60|FUROSEMIDA 40MG|6
4916|4002810.0|96|CLOPIDOGREL 75MG|9
4916|4006284.0|20|VITAMINA D|2
4916|4000933.0|100|BROMELIN PROPOLIS|10
4916|4001371.0|180|DROPROPIZINA XPE|18
4916|4001398.0|100|CLANISTIL SOLUÇÃO|10
4916|4001232.0|100|CLOBETASOL POMADA|10
4916|4000924.0|144|FIGATIL C/150ML|14
4916|4005264.0|100|MAXALGINA XPE|10
4916|4002859.0|120|TADALAFILA 20MG|12
4916|4002826.0|120|HIDROCLOROTIAZIDA 50MG|12
4916|4000934.0|100|BROMELIN SUS|10
4916|4001993.0|120|BROMAZEPAM 3MG|12
4916|4000010.0|100|ALCACHOFRA 300MG|10
4916|4003338.0|120|IBUFRAN 300MG|12
4916|4003317.0|108|FLAVONID 450/50MG|10
4916|4001766.0|120|NAPROXENO 550MG|12
4916|4001753.0|120|LOSARTANA POTASSICA|12
4916|4002295.0|100|ACIDO FUSIDICO|10
4916|4002771.0|100|VALSARTANA 320MG|10
4916|4002793.0|120|CAPTOPRIL 50MG|12
4916|4002819.0|120|DROPROPIZINA XPE|12
4916|4002833.0|100|MESALAZINA 400MG|10
4916|4002864.0|120|VALSARTANA 80MG|12
4916|4001444.0|120|NEOITRAX 100MG|12
4916|4000996.0|120|IVERNEO 6MG|12
4916|4001132.0|100|NEOSAC 300MG|10
4916|4001122.0|120|NEO BRASIL|12
4916|4001745.0|100|CIPROFLOXACINO 500MG|10
4916|4002072.0|120|TRAMADOL 50MG|12
4916|4001373.0|120|LORATADINA 1MG/ML|12
4916|4001249.0|120|ENALAPRIL 10MG|12
4916|4004566.0|100|NEOLINCO 600MG|10
4916|4005630.0|100|HISTAMIX 10MG|10
4916|4002755.0|120|ENALAPRIL 20MG|12
4916|4002759.0|100|LINCOMICINA 600MG|10
4916|4002862.0|100|TOBRAMICINA 3MG/ML|10
4916|4002863.0|100|VALSARTANA 160MG|10
4916|4002910.0|120|HIDRAPLEX PO|12
4916|4003331.0|100|HECLIVIR 200MG|10
4916|4003340.0|120|IBUFRAN 600MG|12
4916|4003384.0|100|TERMOPIRONA 1G|10
3593|4003232.0|180|FLUCANIL 150MG|18
3593|4005253.0|120|IBUPROFENO 100MG|12
3593|4005091.0|120|BETRICORT CREME|12
3593|4003225.0|150|COLIRIO GEOLAB|15
3593|4003251.0|120|MIZONOL CREME|12
3593|4003234.0|60|FOLONIN 5MG|6
3593|4001716.0|120|GINO-COLON TUBO|12
3593|4003244.0|96|LORITIL XPE|9
3593|4001648.0|48|BRONTEK XPE|4
3593|4003222.0|48|CISTEIL XPE|4
3593|4003227.0|120|DIPRIN SOL|12
3593|4003270.0|120|TYLALGIN 750MG|12
3593|4003022.0|120|ALBEL MAST|12
3593|4003249.0|120|MIRACALCIO VIT-D|12
3593|4001102.0|120|GINO-MINOZOL CREME|12
3593|4003216.0|120|CAPOX 50MG|12
3593|4003277.0|120|VALYANNE 50MG|12
3593|4001044.0|60|TRINODAZOL GELEIA|6
3593|4001722.0|60|MAXIVIEW SUSP|6
3593|4001730.0|60|PREDOPTIC SOL|6
3593|4001640.0|120|ALBEL 400MG|12
3593|4005258.0|120|LOSARTANA POTASSICA|12
3593|4003211.0|120|ARARTAN 50MG|12
3593|4003236.0|120|GLICEFOR 850MG|12
3593|4003250.0|96|MIRACALCIO VIT-D|9
3593|4003255.0|120|OCUTIL SOL|12
3593|4003259.0|120|POLTAX 50MG|12
3593|4003260.0|120|POLTAX FLAN|12
3593|4003271.0|120|TYLALGIN CAF|12
3593|4003281.0|120|VITAZINC EFERV|12
3593|4000060.0|100|BRAVAN 160MG|10
3593|4000061.0|72|BRAVAN 320MG|7
3593|4000071.0|90|COMBIRON GTS|9
3593|4000498.0|100|BIOFENAC DI|10
3593|4000713.0|72|CARNABOL C/20CP|7
3593|4000723.0|60|FLAGASS 125MG|6
3593|4000724.0|100|FLAGASS GTS|10
3593|4000728.0|96|FLOGORAL LIMAO|9
3593|4000732.0|96|TRANSPULMIN BALS|9
3593|4000733.0|96|TRANSPULMIN INF|9
3593|4001907.0|60|COLIKIDS GOTAS|6
3593|4002087.0|100|BIOMAG 10MG|10
3593|4002088.0|100|BIOMAG 15MG|10
3593|4002090.0|90|EXODUS 10MG|9
3593|4002091.0|80|REVANGE 37,5+325MG|8
3593|4002092.0|72|REVANGE 37,5+325MG|7
3593|4002093.0|60|SOMALIUM 3MG|6
3593|4002094.0|60|SOMALIUM 6MG|6
3593|4002218.0|60|SOYFEMME C/30CP|6
3593|4002326.0|80|CATIVA SACHÊ|8
3593|4002443.0|96|IRRITRATIL 200MG|9
3593|4002741.0|30|AXONIUM 5MG|3
3593|4002742.0|48|AXONIUM 10MG|4
3593|4002911.0|60|DORENE 150MG|6
3593|4002943.0|100|ALIVIUM 400MG|10
3593|4002961.0|100|EQUILID 50MG|10
3593|4003677.0|48|ARISTAB 15MG|4
3593|4003815.0|60|QUETROS 25MG|6
3593|4003816.0|100|QUETROS 100MG|10
3593|4003831.0|48|SOFTALM C/1FRX5ML|4
3593|4003894.0|100|BUPROVIL 300MG|10
3593|4003952.0|100|QUETROS 25MG|10
3593|4004125.0|72|TARFIC 0,3MG/G|7
3593|4004312.0|60|DONAREN RETARD|6
3593|4004471.0|100|SINVASTATINA 20MG|10
3593|4004480.0|36|LABEL 150MG|3
3593|4004564.0|100|CEFALEXINA 500MG|10
3593|4004640.0|100|MARACUGINA C/20CP|10
3593|4005050.0|100|ALCACHOFRA MILIAN|10
3593|4005353.0|80|BIOMAG 10MG|8
3593|4005354.0|96|BIOMAG 15MG|9
3593|4005355.0|60|NOVANLO 2,5MG|6
3593|4005720.0|60|COLIDIS 5ML|6
3593|4003410.0|96|FLANCOX 500MG|9
3593|4006010.0|96|MOTILEX 30|9
3593|4006121.0|50|DESOL C/20ML|5
3593|4006088.0|50|SUPLAN 30CP|5
3593|4006085.0|50|TOFRANIL 10MG|5
3593|4006086.0|50|TOFRANIL 25MG|5
4239|4000340.0|96|SELOZOK 50MG|9
4239|4000339.0|96|SELOZOK 25MG|9
4239|4000342.0|72|VIMOVO 500MG+20MG|7
4239|4003689.0|10|CRESTOR 40MG|1
4239|4006071.0|24|XIGDUO XR|2
4239|4000337.0|32|PULMICORT 0,25MG|3
4239|4002193.0|35|NEXIUM 20MG|3
4239|4003683.0|20|SYMBICORT TURBO|2
4239|4002339.0|70|SELOKEN 100MG|7
4239|4003691.0|60|CRESTOR 5MG|6
4239|4003685.0|10|SEROQUEL XRO|1
4239|4004574.0|10|FORXIGA 10MG|1
4239|4002563.0|10|XIGDUO XR|1
4239|4002195.0|35|NEXIUM 40MG|3
4239|4003682.0|60|SYMBICORT TURBO|6
4239|4003687.0|20|VANNAIR 6/200MCG|2
4239|4000338.0|64|PULMICORT 0,50MG|6
4239|4000332.0|50|BUDECORT AQUA|5
4239|4000336.0|50|BUDECORT AQUA|5
4239|4005076.0|10|KOMBIGLYZE XR|1
4239|4003684.0|10|SEROQUEL XRO|1
521|6000232.0|120|TINTA KOLESTON|12
521|6000233.0|60|TINTA KOLESTON|6
521|6000236.0|60|TINTA KOLESTON|6
521|6000237.0|12|DESCOL PO|1
521|6000892.0|24|ADOCANTE LÍQ|2
521|6000900.0|72|ADOCANTE LÍQ|7
521|6000907.0|36|ADOCANTE LÍQ|3
521|6000909.0|24|ADOCANTE LÍQ|2
521|6000922.0|48|ADOCANTE LÍQ|4
521|6000926.0|36|ADOCANTE LÍQ|3
3593|4005797.0|72|TARFIC 1,0MG/G|7
3593|4004160.0|60|COGLIVE 8|6
3593|4005724.0|75|CARDILOL 12,5MG|7
3593|4005721.0|60|ANSITEC 5MG|6
3593|4005802.0|60|VATIS 150MG|6
3593|4003970.0|60|SIBLIMA C/24CP|6
3593|4005783.0|60|PLENANCE 20MG|6
3593|4005789.0|60|SIBLIMA C/72CP|6
3593|4005796.0|56|SUMAX SOL|5
3593|4005807.0|64|VENZER HCT|6
3593|4000550.0|80|KOIDE D|8
3593|4001119.0|2|MULTIGRIP CX20CP|0
3593|4001713.0|84|FORMYN 850MG|8
3593|4001712.0|84|FORMYN 500MG|8
3593|4001139.0|72|NIZUIL GEL|7
3593|4005205.0|108|AMPICILINA 500MG|10
3593|4003021.0|30|ICTUS 25MG|3
3593|4003441.0|30|ICTUS 3,125MG|3
3593|4003870.0|30|SUPREMA 1M/2MG|3
3593|4005345.0|30|MIND 10MG|3
3593|4005674.0|30|DISFOR 11G|3
3593|4005710.0|30|NOVANLO 5MG|3
3593|4006305.0|30|ARADOIS 50MG|3
3593|4006320.0|30|DRENISON 0,125MG/G|3
3593|4006324.0|30|ECASIL-81 81MG|3
3593|4006325.0|30|ECASIL-81 81MG|3
3593|4006327.0|30|FLAVENOS 500|3
3593|4006329.0|30|MONESSA CAP|3
3593|4006337.0|30|QUINOFLOX 500MG|3
3593|4006342.0|30|STELE 1MG/G|3
3593|4006345.0|30|VASLIP 10MG|3
3593|4006346.0|30|VASLIP 20MG|3
3593|4006348.0|30|VASOPRIL 20MG|3
3593|4006349.0|30|VASOPRIL 5MG|3
3593|4001503.0|78|NORETISTERONA ENT+ESTR|7
3593|4002426.0|50|OLMESARTANA HIDRO|5
3593|4002422.0|50|SIBUTRAMINA 15MG|5
3593|4001834.0|60|TOPIRAMATO 25MG|6
3593|4002421.0|50|SIBUTRAMINA 10MG|5
3593|4004070.0|40|ISOCONAZOL NITR|4
3593|4004082.0|50|SILDENAFILA CITR|5
3593|4001821.0|50|ESCITALOPRAM 20MG|5
3593|4001831.0|50|RISPERIDONA 3MG|5
3593|4001832.0|50|SERTRALINA 100MG|5
3593|4004087.0|80|TRIANCINOLONA +|8
3593|4001895.0|50|TAMISA 20MCG|5
3593|4002108.0|50|CARBOLITIUM 300MG|5
3593|4001896.0|50|TAMISA 30|5
3593|4002463.0|50|ARTICO 1,5G+1,2G|5
3593|4005402.0|50|ARTICO 500MG+400MG|5
3593|4001898.0|50|TAMISA S/|5
3593|4003917.0|50|QUET XR|5
3593|4005431.0|50|PLAQ 75MG|5
3593|4000238.0|50|PANTOCAL 40MG|5
3593|4002114.0|50|PONDERA 15MG|5
3593|4002120.0|50|SIBUS 15MG|5
3593|4000254.0|50|VARTAZ 320G|5
3593|4000237.0|50|PANTOCAL 20MG|5
3593|4006381.0|50|HEIMER 10MG|5
3593|4006267.0|50|COQUES 200|5
3593|4006292.0|50|GÉSICO 50MG|5
3593|4006266.0|50|COQUES 200|5
3593|4006265.0|50|ESC 20MG|5
3593|4006264.0|50|GÉSICO RETARD|5
3593|4002119.0|50|SIBUS 15MG|5
3593|4005701.0|50|HEIMER 10|5
3593|4005411.0|50|AZOX 500MG|5
3593|4003727.0|50|LUGANO 12MCG+250MCG|5
3593|4002034.0|1|MIRTAZAPINA 30MG|0
3593|4001420.0|60|TRILAX CX|6
3593|4005351.0|72|GABAPENTINA 300MG|7
3593|4005325.0|144|PANTOPRAZOL 40MG|14
3593|4003763.0|80|ROSULIB 20MG|8
3593|4003762.0|80|ROSULIB 10MG|8
4239|4000793.0|13|EPOCLER ABACAXI|1
4239|4000795.0|12|ENGOV 6CPR|1
4239|4000794.0|96|EPOCLER TRAD|9
4239|4000769.0|90|ADDERA D3|9
4239|4002945.0|120|ALIVIUM 600MG|12
4239|4000212.0|72|DIPROSONE CREME|7
4239|4004582.0|100|MARACUGINA 90MG/ML|10
4239|4000191.0|50|GINGILONE POM|5
4239|4004290.0|72|ESTOMAZIL SEM|7
4239|4000189.0|50|DIPROSPAN HYPAK|5
12585|4000965.0|50|DESLORANA 5MG|5
12585|4002526.0|50|NATUS GERIN|5
12585|4002938.0|100|ALBENDAZOL-GEN SUSP|10
12585|4006060.0|50|DORZAL MT|5
12585|4006045.0|50|DORZAL 20MG/ML|5
12585|4005279.0|50|POLIMOXIL 250MG|5
12585|4002568.0|50|ONCILEG POMADA|5
3593|4000047.0|50|ALENIA 6/100MCG|5
3593|4000285.0|60|CERUMIN SOL|6
3593|4000300.0|50|DUO-TRAVATAN BAK|5
3593|4000479.0|50|LYSTATE 120|5
3593|4000480.0|50|UNO CICLO|5
3593|4000572.0|50|FORASEQ 12/400MCG|5
3593|4000575.0|50|GALVUS MET|5
3593|4000982.0|100|FLUCOVIL 150MG|10
3593|4000988.0|50|HIDROFLUX 25MG|5
3593|4001020.0|50|PRESSOMEDE 10MG|5
3593|4001021.0|50|PRESSOMEDE 20MG|5
3593|4001087.0|50|FENAFLAN GEL|5
3593|4001291.0|50|METILDOPA 250MG|5
3593|4001292.0|50|METILDOPA 500MG|5
3593|4001399.0|50|CO-PRESSOTEC 10/25MG|5
3593|4001400.0|50|CO-PRESSOTEC 20/12,5MG|5
3593|4001402.0|50|DEXASON CREME|5
3593|4001408.0|50|FERRONIL 40MG|5
3593|4001416.0|50|RANITIDIL 150MG|5
3593|4001421.0|50|CANDITRAT SUSP|5
3593|4001425.0|50|CLOTREN CREME|5
3593|4001427.0|50|COMPLEXO B|5
3593|4001553.0|50|NEBA-SEPT SPRAY|5
3593|4001679.0|50|YANG 30|5
3593|4001984.0|1|DIPIMED 500MG|0
3593|4002216.0|50|NEVANAC SUS|5
3593|4002217.0|50|NEVANAC UNO|5
3593|4002270.0|50|SIRDALUD 2MG|5
3593|4002317.0|50|PRESSOTEC 10MG|5
3593|4002319.0|50|CARBIDOL 25/250MG|5
3593|4002322.0|50|TEUSIL 25MG|5
3593|4002324.0|50|CICATRIDERM GEL|5
3593|4002569.0|50|NIMESULIX 50MG|5
3593|4002631.0|50|MICOZEN LOC|5
3593|4002687.0|50|MESACOL ADT|5
3593|4002700.0|50|ANGIPRESS 50MG|5
3593|4002701.0|50|BUSONID AEROSOL|5
3593|4002702.0|50|BUSONID 200MCG|5
3593|4002704.0|50|EUPRESSIN 2,5MG|5
3593|4002705.0|50|EUPRESSIN 5MG|5
3593|4002706.0|50|EUPRESSIN 10MG|5
3593|4002722.0|48|DERMOMAX 4PC|4
3593|4002723.0|50|NOOTRON 400MG|5
3593|4002725.0|50|BUSONID 200MCG|5
3593|4002871.0|50|FENOTEROL BROMIDRATO|5
3593|4002873.0|50|ENALAPRIL 10MG|5
3593|4002874.0|50|ENALAPRIL 20MG|5
3593|4002875.0|50|SALBUTAMOL SULF|5
3593|4002879.0|50|AMINOFILINA 200MG|5
3593|4002881.0|100|LOSARTANA POTASSICO|10
3593|4002882.0|50|LORATAD+PSEUD XPE|5
3593|4002925.0|50|NISTATINA+OXIDO ZINC-GEN|5
3593|4003522.0|50|BROMOPRIDA 10MG|5
3593|4003526.0|100|FLUCONAZOL 150MG|10
